flight_id,battery_id,event_datetime,soc_start,soc_end,soc_span,soc_window_used,delivered_ah,capacity_est_ah,cap_est_raw_median,v_max,v_p99,rows_used,monotonic_soc_frac
4577,1,2023-05-16 13:00:00,29.0,100.0,71.0,40-90,14.404364440444528,28.808728880889056,9519.0,403.9,403.8,18774,1.0
4577,2,2023-05-16 13:00:00,29.0,100.0,71.0,40-90,14.407825710361056,28.815651420722112,9528.0,404.2,404.2,18774,1.0
4579,1,2023-05-16 15:00:00,29.0,100.0,71.0,40-90,14.219975111333287,28.439950222666575,9503.0,404.5,403.8,20922,1.0
4579,2,2023-05-16 15:00:00,30.0,100.0,70.0,40-90,14.302019868944463,28.604039737888925,9510.0,404.9,404.2,20922,1.0
4581,1,2023-05-16 20:00:00,27.0,100.0,73.0,40-90,14.11830128808322,28.23660257616644,9528.0,403.9,403.8,19540,1.0
4581,2,2023-05-16 20:00:00,28.0,100.0,72.0,40-90,14.1825355393889,28.3650710787778,9532.0,404.2,404.2,19538,1.0
4586,1,2023-05-17 14:00:00,29.0,95.0,66.0,40-90,14.131060648194397,28.262121296388795,9500.0,403.0,402.4,19089,1.0
4586,2,2023-05-17 14:00:00,30.0,94.0,64.0,40-90,14.191584471249993,28.383168942499985,9501.0,403.3,402.7,19083,1.0
4589,1,2023-05-17 16:00:00,28.0,92.0,64.0,40-90,14.04343201005555,28.0868640201111,9447.0,403.8,403.3,17092,1.0
4589,2,2023-05-17 16:00:00,29.0,91.0,62.0,40-90,14.062319728611097,28.124639457222194,9458.0,404.1,403.6,17089,1.0
4591,1,2023-05-17 18:00:00,29.0,94.0,65.0,40-90,14.212825146583272,28.425650293166544,9498.0,403.8,403.3,15508,1.0
4591,2,2023-05-17 18:00:00,30.0,93.0,63.0,40-90,14.249262643972317,28.498525287944634,9508.0,404.1,403.6,15507,1.0
4593,1,2023-05-17 20:00:00,29.0,97.0,68.0,40-90,14.511265256888887,29.022530513777774,9536.0,403.9,403.8,17354,1.0
4593,2,2023-05-17 20:00:00,29.0,97.0,68.0,40-90,14.522984035972229,29.045968071944458,9542.0,404.2,404.1,17352,1.0
4574,1,2023-05-19 12:04:00,29.0,96.0,67.0,40-90,14.382661585333262,28.765323170666523,9520.0,402.6,402.2,16406,1.0
4574,2,2023-05-19 12:04:00,30.0,95.0,65.0,40-90,14.399400655111126,28.798801310222252,9527.0,402.9,402.5,16406,1.0
4588,1,2023-05-19 16:00:00,28.0,92.0,64.0,40-90,14.04343201005555,28.0868640201111,9447.0,403.8,403.3,17092,1.0
4588,2,2023-05-19 16:00:00,29.0,91.0,62.0,40-90,14.062319728611097,28.124639457222194,9458.0,404.1,403.6,17089,1.0
4621,1,2023-06-03 11:00:00,33.0,100.0,67.0,40-90,14.290365622444508,28.580731244889016,9513.0,403.8,403.8,17123,1.0
4621,2,2023-06-03 11:00:00,33.0,100.0,67.0,40-90,14.3521771572222,28.7043543144444,9527.0,404.2,404.2,17122,1.0
4670,1,2023-06-21 10:55:00,38.0,100.0,62.0,40-90,14.322606670333341,28.645213340666682,9503.0,404.0,403.8,18806,1.0
4670,2,2023-06-21 10:55:00,38.0,100.0,62.0,40-90,14.355998634694416,28.71199726938883,9519.0,404.4,404.2,18805,1.0
4796,1,2023-08-04 11:10:00,34.0,100.0,66.0,40-90,14.033680764555593,28.067361529111185,9529.0,403.8,403.8,17277,1.0
4796,2,2023-08-04 11:10:00,35.0,100.0,65.0,40-90,14.076145295944418,28.152290591888836,9537.0,404.2,404.1,17275,1.0
4803,1,2023-08-06 11:10:00,45.0,100.0,55.0,50-90,11.279109050861088,28.19777262715272,9532.0,403.9,403.8,17263,1.0
4803,2,2023-08-06 11:10:00,45.0,100.0,55.0,50-90,11.323145934361103,28.307864835902755,9539.0,404.2,404.1,17263,1.0
4843,1,2023-08-22 11:30:00,32.0,100.0,68.0,40-90,14.056977703083303,28.113955406166607,9533.0,403.8,403.8,20054,1.0
