feature,coef,abs_coef
_filterpy_pred_state_pct,-3.0706874580627006,3.0706874580627006
observed_soh_pct,1.36307451062278,1.36307451062278
avg_cell_temp_mean_c,-0.39968089274991636,0.39968089274991636
latent_soh_filterpy_filter_pct,0.2968916478896591,0.2968916478896591
latent_soh_filter_pct,0.2968916478896277,0.2968916478896277
current_abs_mean_a,0.29496549374542463,0.29496549374542463
event_duration_s,-0.26900624187398725,0.26900624187398725
p95_abs_current_a,-0.23030473014758832,0.23030473014758832
soc_span_pct,0.21132593282663073,0.21132593282663073
battery_1,-0.12089544184554957,0.12089544184554957
battery_2,0.1208954418455308,0.1208954418455308
avg_cell_temp_span_c,-0.09924214980131088,0.09924214980131088
event_type_other,0.0955235957585693,0.0955235957585693
event_type_flight,-0.0604661134752026,0.0604661134752026
measurement_sigma_pct,0.040555547449944,0.040555547449944
condition_multiplier,0.04055554744983823,0.04055554744983823
_filterpy_pred_var_pct2,-0.030750772348977946,0.030750772348977946
event_type_charge,-0.01173744321473225,0.01173744321473225
soc_mean_pct,0.005176162258981934,0.005176162258981934
