feature,importance_mean,importance_std
_filterpy_pred_var_pct2,0.025342001354897815,0.0035186673774633614
latent_soh_smooth_std_pct,0.023435611275997824,0.006642530711653054
latent_filter_delta_1,0.013195922554736495,0.004894230026209027
rolling_observed_soh_mean_3,0.008680958448188392,0.0016766763938849372
duration_stress_index,0.007853481670631712,0.0012861465305343263
rolling_observed_delta_mean_5,0.0073652177814982345,0.0013094212067441965
kalman_coulomb_gap_mean_pct,0.006994942801064319,0.002334321145559172
prev_observed_soh_pct,0.005921446861925172,0.0007265341271839872
latent_soh_filter_pct,0.005202522626338979,0.0005460423472674963
rolling_latent_filter_delta_mean_5,0.005166654219852074,0.001599585049893927
arrhenius_temp_proxy,0.005156547896229657,0.0007525578496575891
rolling_soc_span_mean_5,0.00442805208606174,0.00247648742183073
latent_filter_delta_2,0.004408027485028931,0.0007386326769511136
rolling_latent_filter_mean_3,0.003735400392740118,0.0003987366571426544
score_current,0.0034579379923021848,0.000612555332310975
prev_delta_days,0.0033622794991959638,0.002622217630650711
p95_abs_current_a,0.002682736328723845,0.00024189598168144734
avg_cell_temp_max_c,0.002603567649150218,0.0003349948823539463
score_gap,0.0025568770782387062,0.0007138691137833376
current_temp_stress_index,0.0021494303670440474,0.0006762358328512758
storage_stress_proxy,0.0020905811169226853,0.0010508900545426285
thermal_severity_proxy,0.0020366803010983146,0.0005490632631527716
n_rows,0.0018642042814289717,0.0006546725565029775
current_abs_mean_a,0.0014358780353748378,0.00013383911821834258
observed_soh_pct,0.0013878356847190965,0.00028752085765504484
rolling_sigma_mean_5,0.001219232236137735,0.0007932859713385573
degradation_stress_proxy,0.001171622372488823,0.0008313380245236938
voltage_sag_proxy_v,0.0011529240006884934,0.0007788209588937419
observed_soh_delta_1,0.0010040545688668524,0.0007239779938319623
voltage_mean_v,0.0009762234922002122,0.00037322195731981025
instant_stress_index,0.0008395261596815473,0.00018390978330550797
measurement_sigma_pct,0.000811199034562815,0.0005886893506409491
_filterpy_pred_state_pct,0.0007858712908624277,0.001730453397475424
rolling_observed_soh_std_3,0.0007751516950640358,0.0013473055140558428
event_duration_s,0.0006747178505549734,0.00025963213953040127
soc_span_pct,0.0006169643574798656,0.002005645295678883
score_switch,0.0004403600628146265,0.00023382170096467514
avg_cell_temp_span_c,0.0003987118110586607,6.795546900210103e-05
soc_edge_stress_proxy,0.0003851015295152749,0.000737012857697532
prev2_observed_soh_pct,0.0003121655851788141,0.00010405519505960469
voltage_max_v,0.0002707149410968057,0.00027342164161339646
flight_event_flag,0.00025386948372645434,7.500032713247143e-05
delta_days,0.00023996738908209635,0.0007403299520506078
observed_soh_iqr_pct,0.00016985309282624428,0.00013285992660195357
observed_soh_span_pct,0.00016766811752155775,0.0002695132328475205
observed_soh_delta_2,5.59153150008207e-05,0.0008091099821806154
