model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,751,751,2.5865224213718703,2.9367520594905576,0.8556101658881109,2.5865224213718703,2.9367520594905576,-0.3326938966323385
ridge_raw_only,train,751,751,1.7280333856406809,2.2035225130094838,0.9187100161209117,1.7280333856406809,2.2035225130094838,0.2497071138051692
ridge_raw_plus_latent,train,751,751,0.9538664629782933,1.2434990391784218,0.9741123301376897,0.9538664629782933,1.2434990391784218,0.7610611589400454
elastic_raw_plus_latent_plus_history,train,751,751,1.347432967872331,1.706965492451452,0.9512189059071137,1.347432967872331,1.706965492451452,0.5497587017223091
ridge_raw_plus_latent_plus_history,train,751,751,0.7747235738310176,0.9897372033296479,0.9836000756742256,0.7747235738310176,0.9897372033296479,0.8486314553332389
gbdt_raw_plus_latent_plus_history,train,751,751,0.0703537796617945,0.09439189363046618,0.9998508334480621,0.0703537796617945,0.09439189363046618,0.9986232178008101
random_forest_raw_plus_latent_plus_history,train,751,751,0.27848996920307195,0.4138234747517199,0.9971329695894727,0.27848996920307195,0.4138234747517199,0.9735377912643891
gam_spline_raw_plus_latent_plus_history,train,751,751,0.385842226782029,0.503655820243606,0.9957531221730125,0.385842226782029,0.503655820243606,0.9608020315655768
lstm_sequence,train,751,751,12.216289252117082,14.460162032008919,-2.50064742690791,12.216289252117082,14.460162032008919,-31.31038728451403
gru_sequence,train,751,751,10.179933531444076,12.690372926285702,-1.6961920441886864,10.179933531444076,12.690372926285702,-23.885399332577148
physics_hybrid_nn,train,751,751,1.4918058111344863,2.047029369792466,0.9298463614258392,1.4918058111344863,2.047029369792466,0.3524937089276924
physics_informed_pinn,train,751,751,1.3964121795439508,1.7183696323462612,0.9505649211023933,1.3964121795439508,1.7183696323462612,0.5437225319108956
naive_zero_delta,valid,166,166,1.9708295677975243,2.0151436507040685,-0.6546621779976509,1.9708295677975243,2.0151436507040685,-21.989836295442917
ridge_raw_only,valid,166,166,0.6299849234885117,0.8091101012400479,0.7332450020550456,0.6299849234885117,0.8091101012400479,-2.7062874919682978
ridge_raw_plus_latent,valid,166,166,0.7887375069851225,0.9462946263681012,0.6351199936705997,0.7887375069851225,0.9462946263681012,-4.069633986040744
elastic_raw_plus_latent_plus_history,valid,166,166,0.8199582903871826,0.9189893152908278,0.6558734004667774,0.8199582903871826,0.9189893152908278,-3.781286653780916
ridge_raw_plus_latent_plus_history,valid,166,166,0.8098392609590983,0.9627630227149706,0.6223094467084151,0.8098392609590983,0.9627630227149706,-4.24762341580586
gbdt_raw_plus_latent_plus_history,valid,166,166,1.996348040924426,2.390930671686707,-1.3293314240386311,1.996348040924426,2.390930671686707,-31.36367448809547
random_forest_raw_plus_latent_plus_history,valid,166,166,2.5759757921395,3.008050973823392,-2.686953852632232,2.5759757921395,3.008050973823392,-50.226447687008125
gam_spline_raw_plus_latent_plus_history,valid,166,166,0.5699734000796352,0.7019372861647628,0.7992322538703844,0.5699734000796352,0.7019372861647628,-1.789462210655218
lstm_sequence,valid,166,166,1.6383302193785345,2.0049204501464617,-0.6379159431343471,1.6383302193785345,2.0049204501464617,-21.757164513134892
gru_sequence,valid,166,166,1.4974901664092046,1.8129097732369375,-0.3392131323736274,1.4974901664092046,1.8129097732369375,-17.606994882323786
physics_hybrid_nn,valid,166,166,0.4501423999488758,0.5433915134844227,0.8796841006089715,0.4501423999488758,0.5433915134844227,-0.6716661971968099
physics_informed_pinn,valid,166,166,0.5610131139708826,0.6828656633803089,0.8099937572674083,0.5610131139708826,0.6828656633803089,-1.6399421426436183
naive_zero_delta,test,165,165,3.4446801095890915,4.437007986364283,0.6041178939150806,3.4446801095890915,4.437007986364283,-1.5171319637128788
ridge_raw_only,test,165,165,2.4156574191951115,3.329540438606607,0.7770774311162814,2.4156574191951115,3.329540438606607,-0.41740562391023817
ridge_raw_plus_latent,test,165,165,2.912172918486992,3.3428059614125076,0.7752975606092878,2.912172918486992,3.3428059614125076,-0.4287225510346542
elastic_raw_plus_latent_plus_history,test,165,165,2.71546631580335,3.870418815467582,0.6987678123833581,2.71546631580335,3.870418815467582,-0.9153206378728227
ridge_raw_plus_latent_plus_history,test,165,165,2.694881322451889,3.0675623693600573,0.8107777273644114,2.694881322451889,3.0675623693600573,-0.20312947561025596
gbdt_raw_plus_latent_plus_history,test,165,165,4.416104277081645,5.123897203459417,0.4720579338671308,4.416104277081645,5.123897203459417,-2.356807062571819
random_forest_raw_plus_latent_plus_history,test,165,165,5.4721566456645165,6.039995285548019,0.266401135456077,5.4721566456645165,6.039995285548019,-3.664431966245229
gam_spline_raw_plus_latent_plus_history,test,165,165,2.385866571328241,3.1689440947699468,0.7980636015071665,2.385866571328241,3.1689440947699468,-0.28396953403682934
lstm_sequence,test,165,165,5.5337822609702805,8.089727297282385,-0.31599189638963776,5.5337822609702805,8.089727297282385,-7.367453884563616
gru_sequence,test,165,165,7.690559686167535,10.060369342840398,-1.035229089704612,7.690559686167535,10.060369342840398,-11.940570226416952
physics_hybrid_nn,test,165,165,2.221779482453265,3.3041051512447486,0.7804703569374862,2.221779482453265,3.3041051512447486,-0.3958324284972845
physics_informed_pinn,test,165,165,2.4889108225983363,3.3726388007840025,0.7712689543597007,2.4889108225983363,3.3726388007840025,-0.45433758491515497
naive_zero_delta,holdout,74,74,0.8244374608833427,0.9031078612917732,-8.587118356203876,0.8244374608833427,0.9031078612917732,-5.001204619294367
ridge_raw_only,holdout,74,74,1.572523068295368,1.7306761696904462,-34.207928292447455,1.572523068295368,1.7306761696904462,-21.038945807703904
ridge_raw_plus_latent,holdout,74,74,1.6507366597366921,1.790803527995837,-36.69682088960514,1.6507366597366921,1.790803527995837,-22.59690652082318
elastic_raw_plus_latent_plus_history,holdout,74,74,1.985339644330319,2.022602369698362,-47.087241750398796,1.985339644330319,2.022602369698362,-29.100950734051978
ridge_raw_plus_latent_plus_history,holdout,74,74,2.101601431521381,2.2189699632998807,-56.87775679599592,2.101601431521381,2.2189699632998807,-35.229474648528104
gbdt_raw_plus_latent_plus_history,holdout,74,74,0.33112073330925595,0.46694087694068864,-1.5629057339409882,0.33112073330925595,0.46694087694068864,-0.6042903777640196
random_forest_raw_plus_latent_plus_history,holdout,74,74,0.5943507096182149,0.7446713192285785,-5.518356340044641,0.5943507096182149,0.7446713192285785,-3.080265698688195
gam_spline_raw_plus_latent_plus_history,holdout,74,74,1.4194880722043752,1.6313161224327972,-30.281322107491174,1.4194880722043752,1.6313161224327972,-18.58102609713093
lstm_sequence,holdout,74,74,25.18447539223182,25.18605501098157,-7455.39898599343,25.18447539223182,25.18605501098157,-4666.447962514132
gru_sequence,holdout,74,74,23.074468286584914,23.076205985869294,-6258.471370965169,23.074468286584914,23.076205985869294,-3917.2126589131885
physics_hybrid_nn,holdout,74,74,1.9857111067060593,2.05845801785295,-48.807285297031925,1.9857111067060593,2.05845801785295,-30.177638524263994
physics_informed_pinn,holdout,74,74,0.6154294436045415,0.7508843694206849,-5.62757989174276,0.6154294436045415,0.7508843694206849,-3.1486358656802746
