feature,importance_mean,importance_std
_filterpy_pred_var_pct2,0.07907795833421068,0.006604972324327237
latent_soh_filter_pct,0.04792016994466915,0.016649583149930865
battery_id,0.04620856845963863,0.01544261727574437
latent_soh_smooth_std_pct,0.03151670810106979,0.006479239277276535
throughput_stress_proxy,0.015728659077109387,0.0016060733973111078
voltage_mean_v,0.015229297156304656,0.0014466689343095745
latent_filter_delta_2,0.014253309343337595,0.0012302175908006886
rolling_observed_soh_mean_3,0.00960256681641205,0.005710768635603898
degradation_stress_proxy,0.0060730256864433676,0.0007990122417644599
rolling_temp_mean_5,0.0034425667540310735,0.0011672622697205743
avg_cell_temp_mean_c,0.002491662679925355,0.0004370256682897293
current_rms_proxy_a,0.002291381511897628,0.00041282637420224583
duration_stress_index,0.001949177154079873,0.0004180721702568546
soc_stress_index,0.0014448044430843243,0.0002107630057255547
current_abs_mean_a,0.0013733703611387594,0.00041418702059013425
kalman_coulomb_gap_span_pct,0.0012652506123875362,0.0009742053381893146
rolling_observed_delta_std_5,0.0012571074195435906,0.0007424484952209074
p95_abs_current_a,0.001130608550373724,0.0006710015919135944
rolling_temp_span_mean_5,0.0010797516504973625,0.0006311100018198226
soc_max_pct,0.0009869398026300046,0.0019003045181295358
observed_soh_slope_pct_per_day_1,0.0007291940288149057,0.0002831158772723754
storage_stress_proxy,0.0006093714536484996,0.0023322030003901607
arrhenius_temp_proxy,0.00046303525555422274,0.0002947861035395566
_filterpy_pred_state_pct,0.00044489591495380234,0.00017386743171062894
avg_cell_temp_max_c,0.00043777129945903325,0.00016912703881359848
rolling_soc_mean_5,0.00040892862299442,0.0004915593431015167
soc_edge_stress_proxy,0.0003152250527394429,0.0002147761144206988
rolling_current_abs_mean_5,0.0003028473723115432,0.0005739972071699288
event_duration_s,0.0002655067141895895,0.0003886382224517132
rolling_stress_index_max_5,0.00025072105523014086,0.0005513021050491502
coulomb_gap_abs_pct,0.0002160198799272539,0.0010519324737316685
event_ah,0.00021210037177081807,0.00012790133655605883
observed_soh_span_pct,0.0001308978223798274,0.00015953450422857358
current_temp_stress_index,0.00012496119003246875,0.000671974360799245
soc_min_pct,0.00010452552441568841,3.936999522458819e-05
n_rows,9.074372920006012e-05,0.00015808395496274237
soc_span_pct,8.407665525207441e-05,2.797135356400777e-05
battery_1,7.368938266476555e-05,0.00027087617834933907
measurement_sigma_pct,3.3994358243116805e-05,0.001827257922572441
observed_soh_delta_2,1.7848487140348367e-05,5.714304030493657e-05
instant_stress_index,0.0,0.0
estimation_reset_risk,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
prev_latent_filter_pct,0.0,0.0
event_type_other,0.0,0.0
battery_2,0.0,0.0
rolling_latent_filter_mean_3,0.0,0.0
rolling_condition_mean_5,0.0,0.0
event_type_charge,0.0,0.0
event_type_flight,0.0,0.0
plane_166,0.0,0.0
event_efc,0.0,0.0
score_didt,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
observed_soh_iqr_pct,0.0,0.0
cumulative_flight_count,0.0,0.0
cumulative_event_count,0.0,0.0
charge_event_flag,0.0,0.0
flight_event_flag,0.0,0.0
condition_multiplier,0.0,0.0
cumulative_efc,0.0,0.0
cumulative_ah,0.0,0.0
score_dtemp,0.0,0.0
score_soc_edge,0.0,0.0
score_observation_instability,0.0,0.0
avg_cell_temp_min_c,0.0,0.0
score_switch,0.0,0.0
score_event_type,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
prev2_latent_filter_pct,-1.512065577138344e-05,0.0002797240258108893
rolling_flight_frac_5,-2.329117460795338e-05,0.00017694669608634436
prev_observed_soh_pct,-2.6638524815592034e-05,0.0002139252194903776
cap_est_span_raw,-7.259109227897298e-05,8.085751433226371e-05
current_span_a,-7.676790685726687e-05,0.00015565618320775398
avg_cell_temp_span_c,-8.656743077786188e-05,3.768061916788197e-05
thermal_severity_proxy,-0.00010983728254259084,0.0004154412465581944
voltage_sag_proxy_v,-0.00025958854816896524,0.00013730214632631828
rolling_duration_mean_5,-0.0004250463393562054,0.00019224927047025708
internal_resistance_proxy_ohm,-0.0005411500837430693,0.0009332862822439828
delta_days,-0.0006198220738050875,0.0009288479702199329
prev_delta_days,-0.0006639560508563847,0.0006874612410592314
observed_soh_delta_1,-0.0007169940222874871,0.0002518946108091917
rolling_observed_soh_std_3,-0.0011396972942369298,0.000597050492083546
voltage_max_v,-0.0011484511910563543,0.0009677705131035915
soc_mean_pct,-0.0012791317530187474,0.0009505374487223313
time_since_prev_event_days,-0.0014046809109410142,0.00037321471750329546
observed_soh_pct,-0.0014288996257260322,0.0029364779832643357
p95_abs_dcurrent_a_per_s,-0.001767680156224527,0.00032210056796708913
rolling_soc_span_mean_5,-0.001973576353670925,0.0021752003486249327
score_gap,-0.0023088907251567203,0.0009190435031540038
rolling_current_abs_max_5,-0.0026147679319706183,0.0026853737087965397
rolling_stress_index_mean_5,-0.0026404170933299388,0.0008529879667798692
kalman_coulomb_gap_mean_pct,-0.0029345405783354206,0.0028373120613377385
rolling_observed_delta_mean_5,-0.0032219502992729245,0.0033171650220325177
score_current,-0.0034662889097846874,0.0014366102974510608
rolling_latent_filter_delta_std_5,-0.0037419406835506484,0.0008301463409605656
prev2_observed_soh_pct,-0.005294762822085808,0.005895006061403361
rolling_sigma_mean_5,-0.0062002527225688995,0.001784477947310137
cap_est_delta_raw,-0.008589918132990971,0.004749492763711971
latent_filter_delta_1,-0.015837045875551015,0.007234713895750528
rolling_gap_days_mean_5,-0.016612208703841346,0.005256367347492225
rolling_latent_filter_delta_mean_5,-0.021872102628998524,0.0052500995921304135
