model,eval_split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,774,5.626052630314702,6.353902688719796,0.4688931447932293,5.626052630314702,6.353902688719796,-1.2666029345269814
naive_zero_delta,valid,166,7.396785830144167,7.469226444932368,-23.86436553739764,7.396785830144167,7.469226444932368,-50.80535306239721
naive_zero_delta,test,158,6.958981208968151,7.570117686219981,-0.39827635080801493,6.958981208968151,7.570117686219981,-5.453991304779942
naive_zero_delta,holdout,12,2.5989934323383346,2.61474628676592,-913.0774158718044,2.5989934323383346,2.61474628676592,-82.24353290908422
ridge_raw_only,train,774,2.730752350623215,3.4691477063409573,0.8416761394586356,2.730752350623215,3.4691477063409573,0.32432179439863096
ridge_raw_only,valid,166,1.3056152738611424,1.5746729024415653,-0.10511338129573877,1.3056152738611424,1.5746729024415653,-1.302523617821512
ridge_raw_only,test,158,3.354922842433557,3.809489800163657,0.6459037069024892,3.354922842433557,3.809489800163657,-0.6343939417880664
ridge_raw_only,holdout,12,1.4137483571099676,1.4972975649932454,-298.73682710039833,1.4137483571099676,1.4972975649932454,-26.29654184377726
ridge_raw_plus_latent,train,774,1.251863137567923,1.5530160793046353,0.9682712697007572,1.251863137567923,1.5530160793046353,0.8645914047238564
ridge_raw_plus_latent,valid,166,2.1974618507375037,2.5833754737943195,-1.9744124740372087,2.1974618507375037,2.5833754737943195,-5.197241917913962
ridge_raw_plus_latent,test,158,5.469000493848395,5.577736118000721,0.24089180811833222,5.469000493848395,5.577736118000721,-2.503797848658734
ridge_raw_plus_latent,holdout,12,1.1801171865658624,1.391813852397296,-257.9918979988104,1.1801171865658624,1.391813852397296,-22.585967894948816
elastic_raw_plus_latent_plus_history,train,774,2.0227681010699436,2.5909762308735056,0.911686388266424,2.0227681010699436,2.5909762308735056,0.6231042970890128
elastic_raw_plus_latent_plus_history,valid,166,0.9551357407551825,1.1877892129722818,0.37121107576086465,0.9551357407551825,1.1877892129722818,-0.3100930394921577
elastic_raw_plus_latent_plus_history,test,158,3.9615358350575414,4.6802572972388825,0.4655252309613849,3.9615358350575414,4.6802572972388825,-1.4669626358238466
elastic_raw_plus_latent_plus_history,holdout,12,1.7072427455775632,2.033955015131465,-552.1036901397516,1.7072427455775632,2.033955015131465,-49.3702470193636
ridge_raw_plus_latent_plus_history,train,774,0.5383686855399819,0.6898573192356031,0.9937393512095063,0.5383686855399819,0.6898573192356031,0.9732814502741614
ridge_raw_plus_latent_plus_history,valid,166,2.2446815942049545,2.6487817032796963,-2.1269322031581837,2.2446815942049545,2.6487817032796963,-5.515019518320019
ridge_raw_plus_latent_plus_history,test,158,6.353735860711157,6.74052859061415,-0.10860200674950438,6.353735860711157,6.74052859061415,-4.116948239801328
ridge_raw_plus_latent_plus_history,holdout,12,1.0401506342234867,1.256283300417588,-210.00805907239055,1.0401506342234867,1.256283300417588,-18.21615828646395
gbdt_raw_plus_latent_plus_history,train,774,0.08396866606904865,0.11041436250400173,0.9998396193655247,0.08396866606904865,0.11041436250400173,0.9993155441072182
gbdt_raw_plus_latent_plus_history,valid,166,2.4541907256602578,2.745048843327443,-2.3583525274052977,2.4541907256602578,2.745048843327443,-5.997187928585876
gbdt_raw_plus_latent_plus_history,test,158,2.621311605808854,3.956489734443276,0.6180488371261448,2.621311605808854,3.956489734443276,-0.7629630098613549
gbdt_raw_plus_latent_plus_history,holdout,12,0.3929758649261063,0.4695610921523796,-28.478683022391454,0.3929758649261063,0.4695610921523796,-1.6845753736848215
random_forest_raw_plus_latent_plus_history,train,774,0.1774158628849574,0.27066692243935003,0.9990362349822985,0.1774158628849574,0.27066692243935003,0.9958869432847629
random_forest_raw_plus_latent_plus_history,valid,166,2.8085370993925958,3.1204330983556163,-3.3396617587397497,2.8085370993925958,3.1204330983556163,-8.041763371953156
random_forest_raw_plus_latent_plus_history,test,158,5.047085437110932,6.410667196469036,-0.0027535614174882816,5.047085437110932,6.410667196469036,-3.628386057223799
random_forest_raw_plus_latent_plus_history,holdout,12,0.26093340689545386,0.3846294167410571,-18.779206369878615,0.26093340689545386,0.3846294167410571,-0.8012599236971765
gam_spline_raw_plus_latent_plus_history,train,774,0.23558403997505697,0.3012129697587016,0.9988064293675495,0.23558403997505697,0.3012129697587016,0.9949062026378394
gam_spline_raw_plus_latent_plus_history,valid,166,0.6533727157468412,0.7974954327767343,0.7165460335271951,0.6533727157468412,0.7974954327767343,0.4094185597467106
gam_spline_raw_plus_latent_plus_history,test,158,6.1076728130974685,7.728221985081169,-0.4572931603942241,6.1076728130974685,7.728221985081169,-5.726393806392118
gam_spline_raw_plus_latent_plus_history,holdout,12,1.0599695880039957,1.2905696681491676,-221.6828529439267,1.0599695880039957,1.2905696681491676,-19.279362639811954
lstm_sequence,train,752,15.171269368407085,17.370999296333796,-3.2122577542377346,15.171269368407085,17.370999296333796,-15.660234628195425
lstm_sequence,valid,166,2.1269741865413283,2.5974436377238015,-2.0068959113527804,2.1269741865413283,2.5974436377238015,-5.264921744140872
lstm_sequence,test,158,11.139104955520331,19.076697592741173,-7.879615090955747,11.139104955520331,19.076697592741173,-39.98543077961972
gru_sequence,train,752,9.954614144073828,12.246939595144932,-1.0937290781379483,9.954614144073828,12.246939595144932,-7.2810738859844335
gru_sequence,valid,166,1.4990019312954947,1.5187922747732214,-0.028070478665897847,1.4990019312954947,1.5187922747732214,-1.1420033437092396
gru_sequence,test,158,5.147915939364132,7.202329837424593,-0.26570869318428914,5.147915939364132,7.202329837424593,-4.842101881702627
physics_hybrid_nn,train,774,2.093035175800022,2.7071295465316947,0.9035907140170837,2.093035175800022,2.7071295465316947,0.588554415402049
physics_hybrid_nn,valid,166,1.313365508878737,1.6408247843123989,-0.19991517060539277,1.313365508878737,1.6408247843123989,-1.5000448519244611
physics_hybrid_nn,test,158,4.208779655395367,5.631255443462995,0.22625437500856238,4.208779655395367,5.631255443462995,-2.571359504807865
physics_hybrid_nn,holdout,12,2.189945340431297,2.4780616744509905,-820.0093272781961,2.189945340431297,2.4780616744509905,-73.76797453612237
physics_informed_pinn,train,774,4.209766846876982,4.659692159514297,0.7143624884203813,4.209766846876982,4.659692159514297,-0.21901424470465902
physics_informed_pinn,valid,166,3.400457761097862,3.585375022771961,-4.72921746112032,3.400457761097862,3.585375022771961,-10.936927684648786
physics_informed_pinn,test,158,3.4402927395412815,4.638695988233115,0.4749754984721728,3.4402927395412815,4.638695988233115,-1.4233432580755032
physics_informed_pinn,holdout,12,0.5669891224863962,0.734743275200563,-71.17638208258961,0.5669891224863962,0.734743275200563,-5.57298488380257
