model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,752,752,5.72562380571864,6.432750076069018,0.4223580967444216,5.72562380571864,6.432750076069018,-1.2846772920373746
ridge_raw_only,train,752,752,2.7867755791135798,3.515565500048056,0.8274735362216241,2.7867755791135798,3.515565500048056,0.31762690371241253
ridge_raw_plus_latent,train,752,752,1.2665014843637776,1.56798156150701,0.9656800034325588,1.2665014843637776,1.56798156150701,0.864258260388459
elastic_raw_plus_latent_plus_history,train,752,752,2.042746269311906,2.6178337534800056,0.9043357966672447,2.042746269311906,2.6178337534800056,0.621630924309019
ridge_raw_plus_latent_plus_history,train,752,752,0.533489208560892,0.6837061531204359,0.9934746425022165,0.533489208560892,0.6837061531204359,0.9741910411734525
gbdt_raw_plus_latent_plus_history,train,752,752,0.08339836475466915,0.11013078695638202,0.999830689918738,0.08339836475466915,0.11013078695638202,0.9993303482732258
random_forest_raw_plus_latent_plus_history,train,752,752,0.17715229341374644,0.27114424667315734,0.9989737193975297,0.17715229341374644,0.27114424667315734,0.9959408762167223
gam_spline_raw_plus_latent_plus_history,train,752,752,0.22954791053990017,0.2936741142327445,0.9987960826642412,0.22954791053990017,0.2936741142327445,0.9952382910883092
lstm_sequence,train,752,752,15.171269368407085,17.370999296333796,-3.2122577542377346,15.171269368407085,17.370999296333796,-15.660234628195425
gru_sequence,train,752,752,9.954614144073828,12.246939595144932,-1.0937290781379483,9.954614144073828,12.246939595144932,-7.2810738859844335
physics_hybrid_nn,train,752,752,2.115626459665504,2.734785270892053,0.8955972838532834,2.115626459665504,2.734785270892053,0.5870685394132655
physics_informed_pinn,train,752,752,4.3006770236724625,4.720974878178909,0.6888794399713274,4.3006770236724625,4.720974878178909,-0.23053759531181472
naive_zero_delta,valid,166,166,7.396785830144167,7.469226444932368,-23.86436553739764,7.396785830144167,7.469226444932368,-50.80535306239721
ridge_raw_only,valid,166,166,1.3056152738611424,1.5746729024415653,-0.10511338129573877,1.3056152738611424,1.5746729024415653,-1.302523617821512
ridge_raw_plus_latent,valid,166,166,2.1974618507375037,2.5833754737943195,-1.9744124740372087,2.1974618507375037,2.5833754737943195,-5.197241917913962
elastic_raw_plus_latent_plus_history,valid,166,166,0.9551357407551825,1.1877892129722818,0.37121107576086465,0.9551357407551825,1.1877892129722818,-0.3100930394921577
ridge_raw_plus_latent_plus_history,valid,166,166,2.2446815942049545,2.6487817032796963,-2.1269322031581837,2.2446815942049545,2.6487817032796963,-5.515019518320019
gbdt_raw_plus_latent_plus_history,valid,166,166,2.4541907256602578,2.745048843327443,-2.3583525274052977,2.4541907256602578,2.745048843327443,-5.997187928585876
random_forest_raw_plus_latent_plus_history,valid,166,166,2.8085370993925958,3.1204330983556163,-3.3396617587397497,2.8085370993925958,3.1204330983556163,-8.041763371953156
gam_spline_raw_plus_latent_plus_history,valid,166,166,0.6533727157468412,0.7974954327767343,0.7165460335271951,0.6533727157468412,0.7974954327767343,0.4094185597467106
lstm_sequence,valid,166,166,2.1269741865413283,2.5974436377238015,-2.0068959113527804,2.1269741865413283,2.5974436377238015,-5.264921744140872
gru_sequence,valid,166,166,1.4990019312954947,1.5187922747732214,-0.028070478665897847,1.4990019312954947,1.5187922747732214,-1.1420033437092396
physics_hybrid_nn,valid,166,166,1.313365508878737,1.6408247843123989,-0.19991517060539277,1.313365508878737,1.6408247843123989,-1.5000448519244611
physics_informed_pinn,valid,166,166,3.400457761097862,3.585375022771961,-4.72921746112032,3.400457761097862,3.585375022771961,-10.936927684648786
naive_zero_delta,test,158,158,6.958981208968151,7.570117686219981,-0.39827635080801493,6.958981208968151,7.570117686219981,-5.453991304779942
ridge_raw_only,test,158,158,3.354922842433557,3.809489800163657,0.6459037069024892,3.354922842433557,3.809489800163657,-0.6343939417880664
ridge_raw_plus_latent,test,158,158,5.469000493848395,5.577736118000721,0.24089180811833222,5.469000493848395,5.577736118000721,-2.503797848658734
elastic_raw_plus_latent_plus_history,test,158,158,3.9615358350575414,4.6802572972388825,0.4655252309613849,3.9615358350575414,4.6802572972388825,-1.4669626358238466
ridge_raw_plus_latent_plus_history,test,158,158,6.353735860711157,6.74052859061415,-0.10860200674950438,6.353735860711157,6.74052859061415,-4.116948239801328
gbdt_raw_plus_latent_plus_history,test,158,158,2.621311605808854,3.956489734443276,0.6180488371261448,2.621311605808854,3.956489734443276,-0.7629630098613549
random_forest_raw_plus_latent_plus_history,test,158,158,5.047085437110932,6.410667196469036,-0.0027535614174882816,5.047085437110932,6.410667196469036,-3.628386057223799
gam_spline_raw_plus_latent_plus_history,test,158,158,6.1076728130974685,7.728221985081169,-0.4572931603942241,6.1076728130974685,7.728221985081169,-5.726393806392118
lstm_sequence,test,158,158,11.139104955520331,19.076697592741173,-7.879615090955747,11.139104955520331,19.076697592741173,-39.98543077961972
gru_sequence,test,158,158,5.147915939364132,7.202329837424593,-0.26570869318428914,5.147915939364132,7.202329837424593,-4.842101881702627
physics_hybrid_nn,test,158,158,4.208779655395367,5.631255443462995,0.22625437500856238,4.208779655395367,5.631255443462995,-2.571359504807865
physics_informed_pinn,test,158,158,3.4402927395412815,4.638695988233115,0.4749754984721728,3.4402927395412815,4.638695988233115,-1.4233432580755032
