feature,importance_mean,importance_std
latent_soh_smooth_std_pct,0.1327808609407925,0.010491186604765093
rolling_current_abs_max_5,0.007102333517002357,0.007115543201861696
rolling_latent_filter_mean_3,0.006710352459286107,0.00138239242028956
rolling_current_abs_mean_5,0.006050145674835772,0.0018808028327202614
event_ah,0.003830199239384946,0.001832671117364113
latent_soh_filter_pct,0.0035645902011967046,0.0025488739355972825
_filterpy_pred_state_pct,0.003437726208361269,0.000974660252782808
storage_stress_proxy,0.002852832677535044,0.0021795220232233344
event_efc,0.002590886386244051,0.00023467265087525835
prev_delta_days,0.0022306709413200563,0.0012455825067607836
throughput_stress_proxy,0.0019566248536826867,0.0005482615229194076
soc_max_pct,0.001408657244484157,0.0006484129168041083
avg_cell_temp_max_c,0.0007751614065639956,0.00017757318221225946
kalman_coulomb_gap_mean_pct,0.0006953774403604563,0.00043130057737869506
observed_soh_pct,0.0006899016569681393,0.0003495716270603072
thermal_severity_proxy,0.0005124336169957111,0.00029257606807656203
degradation_stress_proxy,0.0004657463517578009,0.00043182056604290696
p95_abs_dcurrent_a_per_s,0.0004385293507060517,0.0003065862718944482
internal_resistance_proxy_ohm,0.0003317757561556611,0.0007691978889712213
current_temp_stress_index,0.0003076586309311402,0.0003303298509720671
kalman_coulomb_gap_span_pct,0.00028217587473173823,0.00034275044677308447
soc_mean_pct,0.00027655740545124986,0.0007746986396944053
rolling_duration_mean_5,0.0002595254773517297,0.001052630658149652
soc_edge_stress_proxy,0.0001957598226010937,0.001058614294570179
rolling_flight_frac_5,0.00018702969783221946,6.544676091955516e-05
duration_stress_index,0.0001336188996015508,0.0004003710092271319
voltage_sag_proxy_v,0.00011527960731489983,0.0004891422913829034
event_type_other,0.00010044464927254637,0.00011709497517533175
voltage_max_v,9.306670421551643e-05,0.0006043506924611684
measurement_sigma_pct,8.976088779961699e-05,0.00044720153234835424
n_rows,4.842014778523307e-05,4.4315107527997626e-05
soc_stress_index,2.683947355848204e-05,7.928944701868423e-05
current_abs_mean_a,2.6299635194515503e-05,0.00040127625787416077
score_current,2.4712979148056034e-05,0.000833154682294783
cap_est_span_raw,1.690632378501533e-05,0.0005165408555798175
cap_est_delta_raw,1.0350999554820106e-05,3.105299866416426e-05
rolling_condition_mean_5,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
event_type_charge,0.0,0.0
event_type_flight,0.0,0.0
estimation_reset_risk,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
prev_latent_filter_pct,0.0,0.0
avg_cell_temp_min_c,0.0,0.0
time_since_prev_event_days,0.0,0.0
battery_2,0.0,0.0
prev2_observed_soh_pct,0.0,0.0
condition_multiplier,0.0,0.0
plane_166,0.0,0.0
score_soc_edge,0.0,0.0
charge_event_flag,0.0,0.0
cumulative_event_count,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
cumulative_flight_count,0.0,0.0
score_event_type,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
cumulative_efc,0.0,0.0
score_switch,0.0,0.0
cumulative_ah,0.0,0.0
score_didt,0.0,0.0
score_dtemp,0.0,0.0
score_observation_instability,0.0,0.0
latent_filter_delta_2,-9.091816763096006e-06,0.0008708937783687188
observed_soh_iqr_pct,-3.259111950812965e-05,3.481276860705629e-05
soc_min_pct,-5.219893232180084e-05,9.54353051365234e-05
voltage_mean_v,-5.345256154898337e-05,0.00034111881054008466
