feature,coef,abs_coef
cumulative_efc,21.763438390132553,21.763438390132553
cumulative_ah,-21.02790316361812,21.02790316361812
cumulative_event_count,-7.925403418145044,7.925403418145044
prev_latent_filter_pct,-6.088444094431181,6.088444094431181
prev_observed_soh_pct,-4.02877556127128,4.02877556127128
cumulative_flight_count,2.6952501074278357,2.6952501074278357
prev2_observed_soh_pct,2.1673224433181764,2.1673224433181764
observed_soh_pct,2.1024558240403968,2.1024558240403968
event_duration_s,2.0482442519854764,2.0482442519854764
score_observation_instability,1.9276328515010437,1.9276328515010437
n_rows,-1.7670009010484815,1.7670009010484815
event_efc,1.5030781888472458,1.5030781888472458
soc_span_pct,-1.4981346052811226,1.4981346052811226
_filterpy_pred_state_pct,-1.4026970226596738,1.4026970226596738
measurement_sigma_pct,-1.2576698948384413,1.2576698948384413
condition_multiplier,-1.2576698948220983,1.2576698948220983
soc_max_pct,-1.250065016512997,1.250065016512997
soc_min_pct,1.1186373496168411,1.1186373496168411
rolling_latent_filter_mean_3,0.9987817687243721,0.9987817687243721
soc_stress_index,0.9158070813796336,0.9158070813796336
p95_abs_current_a,0.9084706638548533,0.9084706638548533
instant_stress_index,0.8424931577083731,0.8424931577083731
degradation_stress_proxy,0.6723805506647242,0.6723805506647242
thermal_severity_proxy,-0.6443430273734725,0.6443430273734725
soc_edge_stress_proxy,-0.6124392633384953,0.6124392633384953
observed_soh_delta_2,0.6121257222872881,0.6121257222872881
_filterpy_pred_var_pct2,-0.5939570645148495,0.5939570645148495
rolling_observed_soh_mean_3,0.5144031618693294,0.5144031618693294
score_gap,0.5141113131737763,0.5141113131737763
avg_cell_temp_mean_c,0.5025843169393563,0.5025843169393563
current_rms_proxy_a,-0.41420318831239805,0.41420318831239805
observed_soh_delta_1,-0.40495682654204995,0.40495682654204995
rolling_soc_span_mean_5,-0.39205180474521795,0.39205180474521795
latent_soh_smooth_std_pct,-0.38870252491238794,0.38870252491238794
avg_cell_temp_max_c,-0.38040273928269,0.38040273928269
rolling_latent_filter_delta_std_5,-0.36712012164462854,0.36712012164462854
score_switch,0.34408849590902035,0.34408849590902035
estimation_reset_risk,0.3405397092176903,0.3405397092176903
flag_new_est_batt_cap_any,0.335272251862212,0.335272251862212
prev2_latent_filter_pct,0.29425832204838553,0.29425832204838553
time_since_prev_event_days,-0.2739040351664002,0.2739040351664002
storage_stress_proxy,0.2655524601095997,0.2655524601095997
rolling_stress_index_mean_5,0.2556735908957582,0.2556735908957582
arrhenius_temp_proxy,-0.2537996782100169,0.2537996782100169
current_span_a,-0.2499324821260625,0.2499324821260625
voltage_mean_v,0.24086143742067664,0.24086143742067664
voltage_max_v,0.23619445915757048,0.23619445915757048
voltage_sag_proxy_v,0.22831938436420196,0.22831938436420196
duration_stress_index,-0.21956204601620657,0.21956204601620657
prev_delta_days,-0.21599828648421268,0.21599828648421268
latent_soh_filter_pct,0.20844808975443374,0.20844808975443374
latent_soh_filterpy_filter_pct,0.20844808975426996,0.20844808975426996
score_didt,0.20312023120266504,0.20312023120266504
rolling_current_abs_mean_5,0.20091112969091368,0.20091112969091368
score_soc_edge,0.1984654012013011,0.1984654012013011
rolling_flight_frac_5,-0.19694115311011468,0.19694115311011468
rolling_duration_mean_5,0.17985128119051375,0.17985128119051375
avg_cell_temp_span_c,0.16448666536229817,0.16448666536229817
rolling_gap_days_mean_5,0.16022544821786291,0.16022544821786291
flag_rst_coulomb_any,0.15925144927037807,0.15925144927037807
score_current,0.1531359177411098,0.1531359177411098
soc_mean_pct,0.13673291062507625,0.13673291062507625
rolling_latent_filter_delta_mean_5,0.130987751588952,0.130987751588952
rolling_temp_mean_5,-0.13089518155443494,0.13089518155443494
event_ah,-0.13002354588798803,0.13002354588798803
delta_days,-0.1288699517079652,0.1288699517079652
internal_resistance_proxy_ohm,-0.11848349941426631,0.11848349941426631
rolling_soc_mean_5,0.11471933435426432,0.11471933435426432
current_temp_stress_index,-0.11361255612135195,0.11361255612135195
cap_est_span_raw,-0.10991772593660953,0.10991772593660953
latent_filter_delta_1,0.10450831145588346,0.10450831145588346
flight_event_flag,-0.10137487554248427,0.10137487554248427
event_type_flight,-0.1013748755393457,0.1013748755393457
p95_abs_dtemp_c_per_min,0.08753065335331969,0.08753065335331969
battery_1,-0.0852698483837416,0.0852698483837416
battery_2,0.08526984837805729,0.08526984837805729
battery_id,0.08526984802894054,0.08526984802894054
event_type_other,0.08235993564386881,0.08235993564386881
throughput_stress_proxy,0.0763013756599235,0.0763013756599235
rolling_observed_delta_std_5,0.07090707094892874,0.07090707094892874
score_event_type,0.060570226828262,0.060570226828262
rolling_temp_span_mean_5,-0.05982934689405046,0.05982934689405046
kalman_coulomb_gap_span_pct,0.05329166859132246,0.05329166859132246
observed_soh_slope_pct_per_day_1,-0.047157985306032595,0.047157985306032595
observed_soh_span_pct,0.04705889609079521,0.04705889609079521
p95_abs_dcurrent_a_per_s,0.04675133077527389,0.04675133077527389
rolling_stress_index_max_5,0.04594273933315369,0.04594273933315369
charge_event_flag,0.036067439687202774,0.036067439687202774
event_type_charge,0.036067439645835635,0.036067439645835635
observed_soh_iqr_pct,-0.033565014854880636,0.033565014854880636
rolling_observed_delta_mean_5,-0.03292097663568765,0.03292097663568765
rolling_sigma_mean_5,-0.027902878121573858,0.027902878121573858
rolling_condition_mean_5,-0.027902878097859615,0.027902878097859615
latent_filter_delta_2,-0.025837517343997495,0.025837517343997495
rolling_current_abs_max_5,-0.018103502314429178,0.018103502314429178
avg_cell_temp_min_c,0.018047046862934523,0.018047046862934523
coulomb_gap_abs_pct,-0.01591420170484146,0.01591420170484146
cap_est_delta_raw,-0.006325744538777647,0.006325744538777647
current_abs_mean_a,0.005644935959794149,0.005644935959794149
rolling_observed_soh_std_3,-0.004668907479761487,0.004668907479761487
score_dtemp,-0.0036597904905686686,0.0036597904905686686
kalman_coulomb_gap_mean_pct,0.002024400635305924,0.002024400635305924
time_above_40c_proxy_min,0.0,0.0
plane_166,0.0,0.0
