,corr_with_next_latent_delta_step_5_pct,abs_corr
rolling_gap_days_mean_5,-0.3479430960444375,0.3479430960444375
latent_filter_delta_1,0.33120902732333085,0.33120902732333085
rolling_observed_delta_mean_5,0.2996800915693935,0.2996800915693935
latent_soh_smooth_std_pct,-0.28152595004347736,0.28152595004347736
storage_stress_proxy,-0.2735008126880422,0.2735008126880422
latent_filter_delta_2,0.2662654351010013,0.2662654351010013
delta_days,-0.25899391565553115,0.25899391565553115
prev_delta_days,-0.24745744054339175,0.24745744054339175
time_since_prev_event_days,-0.2415747160501956,0.2415747160501956
cumulative_flight_count,-0.23212212453608488,0.23212212453608488
next_latent_soh_smooth_step_5_pct,0.2239688951719831,0.2239688951719831
rolling_current_abs_max_5,-0.20452812725467615,0.20452812725467615
cumulative_event_count,-0.19461348792368488,0.19461348792368488
rolling_latent_filter_delta_mean_5,0.19435361409258742,0.19435361409258742
cumulative_efc,-0.17936765023475898,0.17936765023475898
cumulative_ah,-0.1770657639630016,0.1770657639630016
observed_soh_delta_1,0.1557491021402655,0.1557491021402655
rolling_flight_frac_5,-0.15284050850275838,0.15284050850275838
observed_soh_delta_2,0.1421746719982804,0.1421746719982804
rolling_latent_filter_delta_std_5,-0.13835690225418715,0.13835690225418715
observed_soh_pct,0.1280860165447229,0.1280860165447229
prev_observed_soh_pct,0.0981510925673453,0.0981510925673453
rolling_observed_soh_mean_3,0.07087172128919351,0.07087172128919351
prev2_observed_soh_pct,0.07053344888333755,0.07053344888333755
current_temp_stress_index,0.0683924912081123,0.0683924912081123
rolling_temp_span_mean_5,0.061217534172367145,0.061217534172367145
avg_cell_temp_mean_c,0.05854459651102737,0.05854459651102737
observed_soh_iqr_pct,-0.05658513232971435,0.05658513232971435
current_abs_mean_a,0.05625652521300893,0.05625652521300893
n_rows,-0.05228705287253605,0.05228705287253605
flag_rst_coulomb_any,0.051384875532539266,0.051384875532539266
rolling_latent_filter_mean_3,-0.050533666696257695,0.050533666696257695
prev2_latent_filter_pct,-0.050031364579735,0.050031364579735
event_duration_s,-0.04738053850872751,0.04738053850872751
_filterpy_pred_state_pct,-0.045294178040254936,0.045294178040254936
thermal_severity_proxy,0.04459713028308297,0.04459713028308297
duration_stress_index,-0.04458626231106329,0.04458626231106329
prev_latent_filter_pct,-0.044514132120724005,0.044514132120724005
avg_cell_temp_max_c,0.04413684602088323,0.04413684602088323
score_didt,-0.04394147786163078,0.04394147786163078
avg_cell_temp_span_c,0.04390497750398573,0.04390497750398573
battery_id,0.0414552710498942,0.0414552710498942
soc_edge_stress_proxy,0.039907388227181505,0.039907388227181505
flight_event_flag,-0.038913331777398155,0.038913331777398155
instant_stress_index,0.03798644556906671,0.03798644556906671
latent_soh_filterpy_filter_pct,-0.03736858819954728,0.03736858819954728
latent_soh_filter_pct,-0.03736858819954728,0.03736858819954728
cap_est_delta_raw,0.03733459761446048,0.03733459761446048
cap_est_span_raw,0.03599697673527409,0.03599697673527409
rolling_stress_index_mean_5,0.034932176792423025,0.034932176792423025
rolling_current_abs_mean_5,0.03444720587295933,0.03444720587295933
degradation_stress_proxy,0.033744573556278946,0.033744573556278946
current_span_a,-0.033175052279797466,0.033175052279797466
soc_max_pct,0.0327755028373688,0.0327755028373688
estimation_reset_risk,0.031887365752860296,0.031887365752860296
internal_resistance_proxy_ohm,-0.03167560073051773,0.03167560073051773
soc_stress_index,0.030370723083495397,0.030370723083495397
rolling_duration_mean_5,-0.029280308406348505,0.029280308406348505
soc_mean_pct,0.028719122194176498,0.028719122194176498
score_switch,0.027024915596266297,0.027024915596266297
avg_cell_temp_min_c,-0.023450962600617943,0.023450962600617943
rolling_observed_delta_std_5,0.022928363713975056,0.022928363713975056
score_soc_edge,0.021454307128068697,0.021454307128068697
rolling_sigma_mean_5,0.020747516619342883,0.020747516619342883
rolling_condition_mean_5,0.02074751661934222,0.02074751661934222
rolling_soc_span_mean_5,0.019418636403821923,0.019418636403821923
soc_span_pct,0.019154440639719543,0.019154440639719543
coulomb_gap_abs_pct,0.019048359012805657,0.019048359012805657
event_ah,0.018517577836300578,0.018517577836300578
voltage_max_v,0.018358919189854914,0.018358919189854914
rolling_soc_mean_5,-0.01695439846527338,0.01695439846527338
rolling_stress_index_max_5,0.01568015801306458,0.01568015801306458
score_current,0.015425753985967742,0.015425753985967742
charge_event_flag,-0.0144382172228839,0.0144382172228839
_filterpy_pred_var_pct2,-0.013898907674674613,0.013898907674674613
score_observation_instability,-0.013580804455274124,0.013580804455274124
flag_new_est_batt_cap_any,0.013525881562446274,0.013525881562446274
event_efc,0.01302247416023763,0.01302247416023763
observed_soh_slope_pct_per_day_1,0.012959711448853635,0.012959711448853635
kalman_coulomb_gap_span_pct,0.011901794588571277,0.011901794588571277
current_rms_proxy_a,0.011699166090176662,0.011699166090176662
throughput_stress_proxy,-0.008586321516269457,0.008586321516269457
rolling_temp_mean_5,0.008281132987479614,0.008281132987479614
voltage_sag_proxy_v,0.007486997185252674,0.007486997185252674
arrhenius_temp_proxy,-0.006905758750988028,0.006905758750988028
score_gap,0.006545037525624873,0.006545037525624873
rolling_observed_soh_std_3,0.0059123783804461046,0.0059123783804461046
voltage_mean_v,0.005501298990330684,0.005501298990330684
kalman_coulomb_gap_mean_pct,0.004496238883571913,0.004496238883571913
p95_abs_dcurrent_a_per_s,0.0043838033661984825,0.0043838033661984825
score_dtemp,0.004249130946170274,0.004249130946170274
p95_abs_dtemp_c_per_min,0.0038159621766134548,0.0038159621766134548
observed_soh_span_pct,-0.003552420285090372,0.003552420285090372
p95_abs_current_a,0.003320382687496878,0.003320382687496878
score_event_type,0.0029601054250040074,0.0029601054250040074
condition_multiplier,-0.001876854179315457,0.001876854179315457
measurement_sigma_pct,-0.001876854179315139,0.001876854179315139
soc_min_pct,-0.0013304215697922015,0.0013304215697922015
