feature,importance_mean,importance_std
rolling_latent_filter_delta_std_5,0.0639542197931405,0.01128239178531522
latent_soh_smooth_std_pct,0.038624316976568276,0.008584339551397513
rolling_observed_soh_mean_3,0.008449484609453606,0.0015682986169412282
p95_abs_current_a,0.005033153989356887,0.0006597853305563721
soc_min_pct,0.004697784114302194,0.0006846494857317528
kalman_coulomb_gap_mean_pct,0.0036609460339350084,0.0015573395703575132
observed_soh_pct,0.0034518512346329187,0.0003138768382017409
rolling_temp_span_mean_5,0.0030566298439942408,0.0021033114623465773
current_abs_mean_a,0.0028063266963091137,0.00038484522868604973
rolling_soc_mean_5,0.002183426565483604,0.0008869551576321384
latent_filter_delta_1,0.001989921056151189,0.005762690188902501
latent_filter_delta_2,0.0017919977883432026,0.000992005185424245
rolling_duration_mean_5,0.0017853741118169174,0.0005806267832396369
observed_soh_delta_2,0.001667535109073004,0.000324431246656207
storage_stress_proxy,0.0014397330894802885,0.0012025318695591876
delta_days,0.0012304866478692667,0.0004668656309546467
n_rows,0.001145670969485746,0.00034739335385715504
voltage_max_v,0.00102862515045965,0.0003196621589604531
time_since_prev_event_days,0.0009686685266961703,0.0004346725312590314
prev_observed_soh_pct,0.0009040228220878355,0.0003007528808077615
throughput_stress_proxy,0.0008897176424263797,0.00033533304266955576
avg_cell_temp_mean_c,0.0008779868012939396,0.0008285788646663477
soc_mean_pct,0.0008659839702214178,0.00045339975761096013
prev2_observed_soh_pct,0.0008254910152163397,0.0007191552272030722
coulomb_gap_abs_pct,0.0006728718149730639,0.0006601254539124017
event_efc,0.0006496010608874059,0.000268862466719914
rolling_observed_delta_mean_5,0.0006122363905279648,0.0011100657560983358
rolling_soc_span_mean_5,0.0005933548225813823,0.0003200236667254762
_filterpy_pred_state_pct,0.0005481294311519668,0.00018072269518249905
rolling_flight_frac_5,0.0005159190777963118,0.004185694211868437
thermal_severity_proxy,0.0003427446979462623,0.0005721554875345462
rolling_current_abs_max_5,0.00026566957625293595,0.0038966459807113205
avg_cell_temp_span_c,0.00022465729101801558,0.00015692103093493828
current_rms_proxy_a,0.00014093574102913564,0.00073672003113208
rolling_temp_mean_5,0.00013880768884568794,0.0005620346267666481
rolling_gap_days_mean_5,9.741069180613238e-05,0.0005309695361281891
event_type_other,3.526517721725852e-05,7.665334039535714e-05
degradation_stress_proxy,3.2749220459926676e-05,3.7990211058703115e-05
observed_soh_span_pct,3.1206370987835184e-05,0.00012254863830564675
condition_multiplier,0.0,0.0
estimation_reset_risk,0.0,0.0
plane_166,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
rolling_condition_mean_5,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
prev_latent_filter_pct,0.0,0.0
avg_cell_temp_min_c,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
flight_event_flag,0.0,0.0
rolling_latent_filter_mean_3,0.0,0.0
score_event_type,0.0,0.0
charge_event_flag,0.0,0.0
score_didt,0.0,0.0
score_dtemp,0.0,0.0
score_observation_instability,0.0,0.0
battery_2,0.0,0.0
score_switch,0.0,0.0
event_type_flight,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
cumulative_ah,0.0,0.0
event_type_charge,0.0,0.0
cumulative_efc,0.0,0.0
cumulative_flight_count,0.0,0.0
cumulative_event_count,0.0,0.0
observed_soh_iqr_pct,-2.233874733104102e-05,1.9841683798205163e-06
current_temp_stress_index,-6.907725760143534e-05,0.0001291703146353146
score_soc_edge,-8.597135072827556e-05,0.001100970479143071
cap_est_span_raw,-0.00014073849831470754,0.0002412614880851018
rolling_stress_index_mean_5,-0.00016328379935552916,0.0002486866157727831
avg_cell_temp_max_c,-0.0001952635961190552,6.485924018454559e-05
event_duration_s,-0.00024764239017223134,0.0006661767114081852
cap_est_delta_raw,-0.0003062990268631438,0.00026771111991525395
rolling_observed_soh_std_3,-0.00040486365749812234,0.0005263769448275856
soc_edge_stress_proxy,-0.00043119204537713787,0.0007582829428020471
prev_delta_days,-0.0004813394847627883,0.0007898354204391789
soc_span_pct,-0.0005079957806516155,0.00024969420954824444
current_span_a,-0.0005906578272924179,0.000873784723788691
event_ah,-0.0005923064270382028,0.00025347674664966976
voltage_mean_v,-0.000645667259334548,0.0009677694092654134
score_current,-0.0006722175962235788,0.0006940214133526435
rolling_current_abs_mean_5,-0.0006780291705942964,0.00031061437165689907
voltage_sag_proxy_v,-0.000931639818863772,0.0005853248052936902
p95_abs_dcurrent_a_per_s,-0.0016263371352302157,0.0005683249730353599
latent_soh_filter_pct,-0.0018947198498214135,0.001599470223679322
soc_stress_index,-0.0019335902434777451,0.00043547756484358703
arrhenius_temp_proxy,-0.0024661270037961815,0.00037972692841101304
measurement_sigma_pct,-0.0027096898719433326,0.0004341416972577603
internal_resistance_proxy_ohm,-0.0028127519107874477,0.0012950505494269784
soc_max_pct,-0.0031845970677933265,0.0012405847569541776
battery_id,-0.0034822663509569197,0.002568707002678108
rolling_stress_index_max_5,-0.0038174185981926455,0.0018493039003094596
score_gap,-0.004961769475688271,0.0005403261149531064
rolling_latent_filter_delta_mean_5,-0.005098158288008125,0.0012532914975966376
observed_soh_slope_pct_per_day_1,-0.005119543121615599,0.000283000225698694
observed_soh_delta_1,-0.005210578760251305,0.0011545804063558956
rolling_observed_delta_std_5,-0.005567265286850453,0.0024544070180512394
instant_stress_index,-0.005650724698359699,0.0005891701832077998
duration_stress_index,-0.006344029355623703,0.0019673237280619198
prev2_latent_filter_pct,-0.006629673089890442,0.0039382270512836786
kalman_coulomb_gap_span_pct,-0.006845073380931854,0.0005276556607925966
battery_1,-0.007239454990902861,0.0014363211777945366
rolling_sigma_mean_5,-0.013025717427939565,0.0032818718625994836
_filterpy_pred_var_pct2,-0.055747063002129504,0.005538794635833398
