model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,752,752,2.9061881335959994,3.357473759431145,0.8091839516351024,2.9061881335959994,3.357473759431145,-0.3463568141915194
ridge_raw_only,train,752,752,1.9650817703243686,2.484726839397832,0.8954926234303171,1.9650817703243686,2.484726839397832,0.2626185282445269
ridge_raw_plus_latent,train,752,752,1.0991497667701053,1.48320159316318,0.9627616859589516,1.0991497667701053,1.48320159316318,0.7372545009301625
elastic_raw_plus_latent_plus_history,train,752,752,1.4710788980757057,1.9393672234770774,0.9363336801832921,1.4710788980757057,1.9393672234770774,0.5507842015688145
ridge_raw_plus_latent_plus_history,train,752,752,0.6251883978352434,0.8463422442534072,0.9878750018486548,0.6251883978352434,0.8463422442534072,0.914448632476103
gbdt_raw_plus_latent_plus_history,train,752,752,0.08337833773155434,0.10868318553450491,0.9998000532441804,0.08337833773155434,0.10868318553450491,0.9985892188865668
random_forest_raw_plus_latent_plus_history,train,752,752,0.1828050720260081,0.29818876018682305,0.9984948763421149,0.1828050720260081,0.29818876018682305,0.9893801726303469
gam_spline_raw_plus_latent_plus_history,train,752,752,0.3633537949357678,0.48560172821457365,0.9960083717194567,0.3633537949357678,0.48560172821457365,0.9718359331865413
lstm_sequence,train,752,752,9.815253905587335,12.346518940048078,-1.5803504729792546,9.815253905587335,12.346518940048078,-17.206395489620764
gru_sequence,train,752,752,11.113955942632048,13.51210527202087,-2.0905493572443303,11.113955942632048,13.51210527202087,-20.806248595841776
physics_hybrid_nn,train,752,752,1.6505167664839473,2.306962075992101,0.9099112514527455,1.6505167664839473,2.306962075992101,0.36435325263294205
physics_informed_pinn,train,752,752,2.004111542513908,2.572401214388643,0.8879873542530925,2.004111542513908,2.572401214388643,0.20966297033582038
naive_zero_delta,valid,166,166,2.086159703004248,2.1353480505477846,-0.8872707515599536,2.086159703004248,2.1353480505477846,-20.958745309248048
ridge_raw_only,valid,166,166,0.6572688033434665,0.8536545934990222,0.6983792421208506,0.6572688033434665,0.8536545934990222,-2.5094134727495203
ridge_raw_plus_latent,valid,166,166,1.0153451925427008,1.185473934266634,0.41832435203158125,1.0153451925427008,1.185473934266634,-5.767904072996797
elastic_raw_plus_latent_plus_history,valid,166,166,0.6426640771743448,0.7935436643282704,0.7393615280578626,0.6426640771743448,0.7935436643282704,-2.032576973091068
ridge_raw_plus_latent_plus_history,valid,166,166,0.7211761837188346,0.9011932037838372,0.663850337578026,0.7211761837188346,0.9011932037838372,-2.9111636826950247
gbdt_raw_plus_latent_plus_history,valid,166,166,2.2605196331813397,2.7275128662347727,-2.079147401785183,2.2605196331813397,2.7275128662347727,-34.82645124423515
random_forest_raw_plus_latent_plus_history,valid,166,166,2.6932974247183106,3.1322919669154548,-3.0608910417562134,2.6932974247183106,3.1322919669154548,-46.24922062233258
gam_spline_raw_plus_latent_plus_history,valid,166,166,0.7128003075285488,0.8695795846208869,0.6870207583391362,0.7128003075285488,0.8695795846208869,-2.641571538705733
lstm_sequence,valid,166,166,1.5978321102322683,1.9545700449502512,-0.5812456396693568,1.5978321102322683,1.9545700449502512,-17.398086360506706
gru_sequence,valid,166,166,1.396865085219248,1.5816879933237376,-0.035472333110001975,1.396865085219248,1.5816879933237376,-11.047912690185658
