feature,importance_mean,importance_std
soc_min_pct,0.2057732903596529,0.029284775784345702
current_rms_proxy_a,0.19651366604728882,0.019179481457806926
current_abs_mean_a,0.10099114385170935,0.0240757351866981
soc_mean_pct,0.09777989384402024,0.022058580681106478
latent_soh_smooth_std_pct,0.09690940932498382,0.00957111464994127
score_gap,0.08869174508311066,0.01605955581400102
prev2_latent_filter_pct,0.08534504697357778,0.012887373911292362
soc_edge_stress_proxy,0.07553598332780709,0.018404613766099025
kalman_coulomb_gap_span_pct,0.07469695561562836,0.029754429289421482
score_current,0.05844853823766103,0.017185221024942677
duration_stress_index,0.04444950731659638,0.015454524422858804
rolling_latent_filter_delta_mean_5,0.037316162259679285,0.00917513448760717
throughput_stress_proxy,0.03660177277130168,0.008111802494565884
rolling_latent_filter_mean_3,0.036012622780689355,0.016964121780830326
event_duration_s,0.03471063630089111,0.014052739183655266
time_since_prev_event_days,0.024947352797137647,0.010330636878864699
storage_stress_proxy,0.019697718081815196,0.007170272744427778
measurement_sigma_pct,0.017688851590272538,0.013482788561422524
observed_soh_delta_1,0.016017223932427216,0.008996777679681892
rolling_current_abs_mean_5,0.014767493780420526,0.00932184332103384
p95_abs_dcurrent_a_per_s,0.012831312061509781,0.00724630063389431
cap_est_span_raw,0.009069916357909902,0.0011945409051601571
coulomb_gap_abs_pct,0.008370385223350586,0.009948813497762558
rolling_stress_index_mean_5,0.0066275747758297145,0.0038882044407564185
p95_abs_current_a,0.006364381401545138,0.0024553184177666483
thermal_severity_proxy,0.006217552242587488,0.0024905282835233607
observed_soh_slope_pct_per_day_1,0.00597254540198211,0.007880900102189515
prev_delta_days,0.005746588233311423,0.02756658599330037
observed_soh_span_pct,0.005080274868595502,0.001136277660772926
voltage_sag_proxy_v,0.004508091045162121,0.006534675896777094
cap_est_delta_raw,0.0039464893911881575,0.002165014601286589
avg_cell_temp_span_c,0.003938259996374205,0.001592425783969728
battery_id,0.003270861121606927,0.002992809817576614
current_temp_stress_index,0.0031059930452107753,0.00553027778069675
instant_stress_index,0.0030015341159502105,0.0028428317971658755
score_switch,0.002143556742818786,0.002505607926141449
avg_cell_temp_max_c,0.0016670493471095504,0.004819410855200725
rolling_observed_delta_std_5,0.000941272862524345,0.004436381229915765
soc_stress_index,0.0008362402999404495,0.0
observed_soh_pct,0.0006457931704406227,0.0007019361369867912
avg_cell_temp_mean_c,0.00042231159335011094,0.004128628173050953
prev_observed_soh_pct,0.00034820985283952056,0.0004986473266060271
soc_max_pct,0.00014260320946939408,0.0016367283153298402
prev2_observed_soh_pct,8.482249221359872e-05,0.0001696449844270309
battery_1,4.523185731009072e-05,0.00011002143948267406
flag_new_est_batt_cap_any,0.0,0.0
event_type_flight,0.0,0.0
event_type_charge,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
estimation_reset_risk,0.0,0.0
prev_latent_filter_pct,0.0,0.0
rolling_condition_mean_5,0.0,0.0
battery_2,0.0,0.0
plane_166,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
score_dtemp,0.0,0.0
condition_multiplier,0.0,0.0
flight_event_flag,0.0,0.0
charge_event_flag,0.0,0.0
cumulative_event_count,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
score_didt,0.0,0.0
cumulative_flight_count,0.0,0.0
score_event_type,0.0,0.0
score_observation_instability,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
n_rows,-3.498667127743715e-06,0.004146472970128702
event_type_other,-2.2771884171701728e-05,9.926034185886878e-05
rolling_sigma_mean_5,-0.00013963941696770732,0.002189517261763779
rolling_latent_filter_delta_std_5,-0.00027889524039363954,0.004292701327691806
internal_resistance_proxy_ohm,-0.000758287102267774,0.002823246418953157
rolling_flight_frac_5,-0.0008781929677513123,0.0015710349913035813
rolling_temp_mean_5,-0.000926754283041209,0.003737797310939471
soc_span_pct,-0.001202371246722267,0.0025338199484008354
rolling_current_abs_max_5,-0.0015286751263733577,0.0030969261711927326
degradation_stress_proxy,-0.0016719306957867276,0.0026073182786258632
rolling_soc_span_mean_5,-0.0018479347958410219,0.0021634964067542856
current_span_a,-0.0026848378804853025,0.0013625763373017435
rolling_duration_mean_5,-0.0032528018180693063,0.0019523251613131833
rolling_stress_index_max_5,-0.003283928181182949,0.0019354159282776418
observed_soh_iqr_pct,-0.003383348721974544,0.002885352205823239
delta_days,-0.003947712846208961,0.00659507390894059
rolling_observed_soh_std_3,-0.004044783633640092,0.008314967501225807
rolling_soc_mean_5,-0.004408600118375849,0.0059638132042496746
voltage_mean_v,-0.004650191042138108,0.005110833235551456
latent_filter_delta_2,-0.0048679636448842436,0.001953127312821823
score_soc_edge,-0.0051720915654966506,0.0030663194706531736
rolling_observed_soh_mean_3,-0.005714250378912311,0.004735020372523697
kalman_coulomb_gap_mean_pct,-0.005743047959889491,0.020334815988038178
rolling_temp_span_mean_5,-0.006465139753069238,0.003462894359804791
observed_soh_delta_2,-0.006635997156953577,0.004007554980255145
rolling_observed_delta_mean_5,-0.008732823172684734,0.008789686378551825
avg_cell_temp_min_c,-0.010615124190361458,0.008541767477750994
voltage_max_v,-0.012538320566583838,0.007908936658550149
arrhenius_temp_proxy,-0.01329977393481716,0.010317654686582111
_filterpy_pred_state_pct,-0.024877445992148896,0.0032651090988101714
rolling_gap_days_mean_5,-0.03020276239376236,0.005667343087429735
latent_filter_delta_1,-0.06380572437239831,0.01872802530416878
latent_soh_filter_pct,-0.13157580153096776,0.012834715999551596
_filterpy_pred_var_pct2,-0.22201169069258828,0.02467579813790166
