model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,752,752,7.6888297872340425,10.174671305266465,-0.500042469840968,7.6888297872340425,10.174671305266465,-0.24568491860594066
ridge_raw_only,train,752,752,3.8021621138580683,5.7793237510575555,0.5160317999850926,3.8021621138580683,5.7793237510575555,0.5980967872813968
ridge_raw_plus_latent,train,752,752,4.005910299096336,5.659076347188444,0.5359616381008174,4.005910299096336,5.659076347188444,0.6146471845335815
elastic_raw_plus_latent_plus_history,train,752,752,4.438631483784903,5.969477110880918,0.48366048624422475,4.438631483784903,5.969477110880918,0.5712145768552244
ridge_raw_plus_latent_plus_history,train,752,752,3.468032288921984,4.986975145792212,0.6396394953783429,3.468032288921984,4.986975145792212,0.7007447089707961
gbdt_raw_plus_latent_plus_history,train,752,752,0.9348498153069625,1.2833074625494074,0.9761370452168732,0.9348498153069625,1.2833074625494074,0.9801834124804026
random_forest_raw_plus_latent_plus_history,train,752,752,0.8106377321898479,1.326466776578345,0.9745049696913181,0.8106377321898479,1.326466776578345,0.9788280829420161
gam_spline_raw_plus_latent_plus_history,train,752,752,2.9126993066424967,4.180257752852503,0.7467969685880804,2.9126993066424967,4.180257752852503,0.7897318216539737
lstm_sequence,train,752,752,12.599939894168935,15.03735439796136,-2.276465876873865,12.599939894168935,15.03735439796136,-1.7208857157100823
gru_sequence,train,752,752,9.053588461368642,11.903719864174706,-1.0531854340660174,9.053588461368642,11.903719864174706,-0.7050331452206045
physics_hybrid_nn,train,752,752,5.555412642499234,7.262434244208957,0.23576450395149828,5.555412642499234,7.262434244208957,0.36535354776196594
physics_informed_pinn,train,752,752,5.372749074976495,7.377841430401108,0.2112826171383272,5.372749074976495,7.377841430401108,0.3450229785978689
naive_zero_delta,valid,165,165,5.993939393939394,8.807366063114271,-0.2884301887160816,5.993939393939394,8.807366063114271,-0.6712923613122568
ridge_raw_only,valid,165,165,5.209828782517978,6.715341075102577,0.25096010698785065,5.209828782517978,6.715341075102577,0.02837991342252233
ridge_raw_plus_latent,valid,165,165,5.591189213369493,7.958597475661619,-0.05206331411710896,5.591189213369493,7.958597475661619,-0.36468812660539207
elastic_raw_plus_latent_plus_history,valid,165,165,5.422230445431934,7.836716878752377,-0.020086761316737256,5.422230445431934,7.836716878752377,-0.32320961352459077
ridge_raw_plus_latent_plus_history,valid,165,165,5.598594084157167,8.338782816286658,-0.1549790927249295,5.598594084157167,8.338782816286658,-0.4981857395549567
gbdt_raw_plus_latent_plus_history,valid,165,165,5.353668770472197,8.104780139053862,-0.09106663053628572,5.353668770472197,8.104780139053862,-0.4152814341575639
random_forest_raw_plus_latent_plus_history,valid,165,165,5.273142991408143,7.724517856953353,0.008913500696672183,5.273142991408143,7.724517856953353,-0.28559180791623007
gam_spline_raw_plus_latent_plus_history,valid,165,165,5.433179594988287,7.369828907420647,0.09783991441295059,5.433179594988287,7.369828907420647,-0.17024055546613726
lstm_sequence,valid,165,165,6.266240669019295,7.799830981525556,-0.010506661644403392,6.266240669019295,7.799830981525556,-0.31078274900123115
gru_sequence,valid,165,165,6.106891840154474,9.14385370171524,-0.38876043430119434,6.106891840154474,9.14385370171524,-0.8014361397827654
physics_hybrid_nn,valid,165,165,5.2306665593927555,7.780668284712143,-0.005547516769722316,5.2306665593927555,7.780668284712143,-0.30434997443549827
physics_informed_pinn,valid,165,165,5.130148454145952,7.651862622288537,0.027469733985490796,5.130148454145952,7.651862622288537,-0.2615215158492341
naive_zero_delta,test,1,1,31.0,31.0,,31.0,31.0,
ridge_raw_only,test,1,1,24.75442863134488,24.75442863134488,,24.75442863134488,24.75442863134488,
ridge_raw_plus_latent,test,1,1,27.910296876573526,27.910296876573526,,27.910296876573526,27.910296876573526,
elastic_raw_plus_latent_plus_history,test,1,1,28.18932650448052,28.18932650448052,,28.18932650448052,28.18932650448052,
ridge_raw_plus_latent_plus_history,test,1,1,29.941777436074375,29.941777436074375,,29.941777436074375,29.941777436074375,
gbdt_raw_plus_latent_plus_history,test,1,1,29.141387444680362,29.141387444680362,,29.141387444680362,29.141387444680362,
random_forest_raw_plus_latent_plus_history,test,1,1,27.25099523624523,27.25099523624523,,27.25099523624523,27.25099523624523,
gam_spline_raw_plus_latent_plus_history,test,1,1,27.629144168848697,27.629144168848697,,27.629144168848697,27.629144168848697,
lstm_sequence,test,1,1,24.624000549316406,24.624000549316406,,24.624000549316406,24.624000549316406,
gru_sequence,test,1,1,28.64446258544922,28.64446258544922,,28.64446258544922,28.64446258544922,
physics_hybrid_nn,test,1,1,28.441368103027344,28.441368103027344,,28.441368103027344,28.441368103027344,
physics_informed_pinn,test,1,1,27.011009216308594,27.011009216308594,,27.011009216308594,27.011009216308594,
