,corr_with_next_observed_delta_flight_5_pct,abs_corr
next_observed_soh_flight_5_pct,0.38056734538193043,0.38056734538193043
observed_soh_pct,-0.17917072749269264,0.17917072749269264
latent_filter_delta_1,-0.1779681384800784,0.1779681384800784
rolling_current_abs_max_5,-0.176105277852455,0.176105277852455
rolling_latent_filter_delta_mean_5,-0.16161514736444882,0.16161514736444882
latent_soh_smooth_std_pct,-0.1521320309192119,0.1521320309192119
latent_filter_delta_2,-0.15127773341245612,0.15127773341245612
prev_observed_soh_pct,-0.14979408067656744,0.14979408067656744
rolling_observed_soh_mean_3,-0.13993732185904764,0.13993732185904764
prev2_observed_soh_pct,-0.13922265571958842,0.13922265571958842
observed_soh_delta_1,-0.1365212445768978,0.1365212445768978
cumulative_flight_count,-0.09380729959073926,0.09380729959073926
rolling_observed_delta_mean_5,-0.09361906923256445,0.09361906923256445
score_gap,0.08442461295304508,0.08442461295304508
internal_resistance_proxy_ohm,-0.07819287055140212,0.07819287055140212
event_ah,-0.07486094706363285,0.07486094706363285
duration_stress_index,-0.07336329394187219,0.07336329394187219
storage_stress_proxy,-0.07150576663657969,0.07150576663657969
voltage_sag_proxy_v,-0.06939895208445566,0.06939895208445566
arrhenius_temp_proxy,-0.06913993906682724,0.06913993906682724
n_rows,-0.06884442858285353,0.06884442858285353
latent_soh_filter_pct,-0.06776385466676074,0.06776385466676074
latent_soh_filterpy_filter_pct,-0.06776385466676074,0.06776385466676074
cumulative_event_count,-0.06648994323044996,0.06648994323044996
_filterpy_pred_state_pct,-0.0634568573261024,0.0634568573261024
prev_latent_filter_pct,-0.06328624929751062,0.06328624929751062
cumulative_ah,-0.06162950334277686,0.06162950334277686
voltage_mean_v,0.06119496708134416,0.06119496708134416
rolling_flight_frac_5,-0.06101063167492562,0.06101063167492562
cumulative_efc,-0.06053756109072561,0.06053756109072561
rolling_latent_filter_mean_3,-0.059714617357706445,0.059714617357706445
prev2_latent_filter_pct,-0.059409967563757306,0.059409967563757306
rolling_duration_mean_5,-0.05872252049454112,0.05872252049454112
event_duration_s,-0.05870663739275172,0.05870663739275172
rolling_soc_span_mean_5,-0.05618120605043199,0.05618120605043199
delta_days,-0.054404135291259224,0.054404135291259224
score_observation_instability,-0.05421146620205413,0.05421146620205413
event_efc,-0.05359317795834596,0.05359317795834596
degradation_stress_proxy,-0.052180060736668504,0.052180060736668504
rolling_observed_delta_std_5,-0.049821120227204065,0.049821120227204065
observed_soh_delta_2,-0.0497843823366435,0.0497843823366435
throughput_stress_proxy,-0.046132832440813294,0.046132832440813294
soc_span_pct,-0.0457976074257701,0.0457976074257701
rolling_condition_mean_5,-0.04361566607254921,0.04361566607254921
rolling_sigma_mean_5,-0.04361566607254863,0.04361566607254863
rolling_latent_filter_delta_std_5,-0.04356518594108388,0.04356518594108388
soc_min_pct,0.040988586590217084,0.040988586590217084
time_since_prev_event_days,-0.04034648500849992,0.04034648500849992
thermal_severity_proxy,-0.03806409424366929,0.03806409424366929
score_current,0.0378286837500987,0.0378286837500987
soc_mean_pct,0.035330933259789206,0.035330933259789206
soc_edge_stress_proxy,0.03435353763605882,0.03435353763605882
prev_delta_days,-0.0323606756615786,0.0323606756615786
coulomb_gap_abs_pct,0.028929568145654724,0.028929568145654724
flag_new_est_batt_cap_any,-0.02649022681331842,0.02649022681331842
observed_soh_span_pct,-0.02633584535283327,0.02633584535283327
kalman_coulomb_gap_span_pct,0.025579268080591997,0.025579268080591997
condition_multiplier,-0.025466798553688528,0.025466798553688528
measurement_sigma_pct,-0.025466798553688465,0.025466798553688465
score_switch,-0.024689063211167584,0.024689063211167584
estimation_reset_risk,-0.023384894665702177,0.023384894665702177
rolling_temp_mean_5,-0.020131471901633512,0.020131471901633512
p95_abs_dcurrent_a_per_s,0.019943778311028015,0.019943778311028015
charge_event_flag,0.019649181497333412,0.019649181497333412
soc_stress_index,-0.0190326356582966,0.0190326356582966
rolling_stress_index_mean_5,-0.018449542452812558,0.018449542452812558
instant_stress_index,-0.01681919429594034,0.01681919429594034
observed_soh_iqr_pct,-0.016696842558118416,0.016696842558118416
avg_cell_temp_mean_c,0.015736929118422078,0.015736929118422078
soc_max_pct,-0.015165126257752806,0.015165126257752806
rolling_current_abs_mean_5,0.014422895227471703,0.014422895227471703
current_span_a,-0.014421532013656497,0.014421532013656497
current_temp_stress_index,0.013746303582349873,0.013746303582349873
score_soc_edge,-0.013164791799391408,0.013164791799391408
flight_event_flag,0.011240337382747207,0.011240337382747207
score_dtemp,0.01113727744059232,0.01113727744059232
p95_abs_current_a,-0.010505282985469681,0.010505282985469681
score_event_type,0.010108713845509756,0.010108713845509756
observed_soh_slope_pct_per_day_1,-0.008884235289560024,0.008884235289560024
voltage_max_v,0.008713601784540358,0.008713601784540358
avg_cell_temp_min_c,-0.00805525994427444,0.00805525994427444
p95_abs_dtemp_c_per_min,0.007993168959233117,0.007993168959233117
current_rms_proxy_a,-0.007294541047375629,0.007294541047375629
battery_id,0.006791206516438018,0.006791206516438018
cap_est_delta_raw,0.0064824246512831,0.0064824246512831
avg_cell_temp_span_c,0.005866473328799539,0.005866473328799539
