feature,importance_mean,importance_std
_filterpy_pred_var_pct2,1.013467879430763,0.09982135782843586
battery_id,0.3803163044093312,0.04384455487925414
latent_soh_filter_pct,0.30468272453435874,0.21537459846686044
prev2_latent_filter_pct,0.2324154425589411,0.03049774600515445
latent_soh_smooth_std_pct,0.21436484312159526,0.03792357735903724
rolling_temp_mean_5,0.18309729166999028,0.09520621660013803
latent_filter_delta_1,0.04776379754076263,0.02990681784765381
rolling_temp_span_mean_5,0.039399616151080605,0.00931191624389263
event_ah,0.039234495365547774,0.008915854729103988
rolling_latent_filter_delta_std_5,0.029726237237037444,0.08284470248423616
throughput_stress_proxy,0.024361227812087625,0.003664122458626636
rolling_current_abs_max_5,0.023350892273194646,0.010569370947934906
soc_min_pct,0.020297542951704273,0.004915961018109556
observed_soh_delta_1,0.01963867744405423,0.013977331999358205
rolling_sigma_mean_5,0.01604735496628411,0.008057428185809595
internal_resistance_proxy_ohm,0.012821162982411849,0.0032686979843891584
observed_soh_delta_2,0.010488075734498458,0.006284544324085569
rolling_stress_index_mean_5,0.009083052263033586,0.0018767500165023704
soc_max_pct,0.008387881114105333,0.003581295669508242
soc_edge_stress_proxy,0.007894591733898438,0.007779845525476622
rolling_observed_soh_std_3,0.0074431794908184305,0.00791677734400236
rolling_observed_delta_std_5,0.007217084014334496,0.010553631612645088
observed_soh_slope_pct_per_day_1,0.007121814448412778,0.010380614099104148
avg_cell_temp_min_c,0.0066941036591940065,0.004223892221332898
instant_stress_index,0.005297319540192547,0.0033817399863241035
arrhenius_temp_proxy,0.00524111056525296,0.0027522754633716
score_gap,0.004043775435710018,0.008623446774629588
score_soc_edge,0.003646636580694107,0.002177360323033729
observed_soh_span_pct,0.0030605646823756772,0.003356829194651309
voltage_max_v,0.002901734934994771,0.002943557105025916
degradation_stress_proxy,0.002551227186505045,0.0027397623537128483
battery_1,0.0024811808487982035,0.0012012898124965235
score_current,0.002296168426311773,0.002458072349715277
soc_mean_pct,0.002256094715239598,0.0092524872635078
rolling_soc_span_mean_5,0.0021209977009128524,0.004574370875759295
prev_delta_days,0.0016018967002077388,0.0038887154660988254
avg_cell_temp_mean_c,0.0014829603752556154,0.021603040005582715
storage_stress_proxy,0.0014536692500287884,0.007392324969148727
avg_cell_temp_span_c,0.0013179859411357243,0.001247262506901457
rolling_gap_days_mean_5,0.0006992943004457075,0.006788696616215939
p95_abs_dcurrent_a_per_s,0.0006791934326464855,0.0031682605460748147
delta_days,0.0006636388417806671,0.0019444978204402497
thermal_severity_proxy,0.000564897230333905,0.0011360712931647455
soc_span_pct,0.00021964146511130878,0.00036879460919906254
latent_filter_delta_2,8.570267824126176e-05,0.017855368928536668
flag_rst_coulomb_any,0.0,0.0
event_type_other,0.0,0.0
prev_observed_soh_pct,0.0,0.0
rolling_observed_soh_mean_3,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
prev_latent_filter_pct,0.0,0.0
estimation_reset_risk,0.0,0.0
event_type_charge,0.0,0.0
event_type_flight,0.0,0.0
rolling_condition_mean_5,0.0,0.0
battery_2,0.0,0.0
time_since_prev_event_days,0.0,0.0
plane_166,0.0,0.0
cumulative_efc,0.0,0.0
score_switch,0.0,0.0
cumulative_event_count,0.0,0.0
event_efc,0.0,0.0
charge_event_flag,0.0,0.0
flight_event_flag,0.0,0.0
condition_multiplier,0.0,0.0
cumulative_ah,0.0,0.0
cumulative_flight_count,0.0,0.0
score_dtemp,0.0,0.0
score_observation_instability,0.0,0.0
score_didt,0.0,0.0
score_event_type,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
prev2_observed_soh_pct,-7.786904957107765e-05,8.608747340294987e-05
observed_soh_iqr_pct,-0.00014387750690882938,0.0002917510046257168
current_span_a,-0.00034344151373897345,0.0016084349932926905
rolling_soc_mean_5,-0.00035843440238512156,0.004755481579756472
rolling_flight_frac_5,-0.0004657318070130145,0.0045742100688790045
cap_est_delta_raw,-0.0004981199945875758,0.0028329085649641942
current_rms_proxy_a,-0.0005361223942125903,0.0018940743869272651
kalman_coulomb_gap_mean_pct,-0.0006378605593759801,0.004541177626244519
n_rows,-0.0008822495980966849,0.0028200634912332575
duration_stress_index,-0.0009449162278912127,0.0012516629190012626
p95_abs_current_a,-0.001184983002783646,0.00171077387190557
voltage_sag_proxy_v,-0.0018611227433785516,0.001983099448409357
current_temp_stress_index,-0.001993102505294786,0.0009831014833889312
cap_est_span_raw,-0.003444806428326075,0.0006705540514016017
coulomb_gap_abs_pct,-0.0037742026185954456,0.00714225640178456
soc_stress_index,-0.0042833221200965,0.0016650182107562279
rolling_duration_mean_5,-0.004385267448482821,0.0039504850135955736
rolling_observed_delta_mean_5,-0.005271776944074524,0.008849199402083697
event_duration_s,-0.006088886986476538,0.0025290921328581105
current_abs_mean_a,-0.006924379768762634,0.0035086158489272597
measurement_sigma_pct,-0.008330751540917447,0.01268192800014493
rolling_stress_index_max_5,-0.0103044210540574,0.014897588732603844
rolling_current_abs_mean_5,-0.011883358721192927,0.0054462587051154485
rolling_latent_filter_mean_3,-0.012024083769621363,0.005354558251113192
rolling_latent_filter_delta_mean_5,-0.013693104404853962,0.013548645992043666
_filterpy_pred_state_pct,-0.02124239294682777,0.025104289227629195
voltage_mean_v,-0.0218912837744778,0.01216805426620267
avg_cell_temp_max_c,-0.04586819371910948,0.025325166089422032
kalman_coulomb_gap_span_pct,-0.053916153613978855,0.01633284292900677
observed_soh_pct,-0.16972621683778968,0.120984285370563
