,corr_with_next_observed_delta_pct,abs_corr
observed_soh_delta_1,-0.20832671711523326,0.20832671711523326
internal_resistance_proxy_ohm,-0.1677344314137648,0.1677344314137648
duration_stress_index,-0.14569127973521664,0.14569127973521664
event_duration_s,-0.14231516899708954,0.14231516899708954
n_rows,-0.14005722210718557,0.14005722210718557
prev_delta_days,-0.12823576366315995,0.12823576366315995
observed_soh_iqr_pct,-0.11433868423168785,0.11433868423168785
next_observed_soh_pct,0.11077110881370707,0.11077110881370707
score_current,0.11047780360196192,0.11047780360196192
score_observation_instability,-0.10467263502763013,0.10467263502763013
observed_soh_pct,-0.08967900410842472,0.08967900410842472
p95_abs_current_a,0.08879791884578925,0.08879791884578925
current_rms_proxy_a,0.08499186246127031,0.08499186246127031
observed_soh_slope_pct_per_day_1,-0.08339340147316636,0.08339340147316636
rolling_gap_days_mean_5,-0.08228254462954587,0.08228254462954587
latent_filter_delta_1,-0.0768809323530372,0.0768809323530372
measurement_sigma_pct,-0.06892958684600348,0.06892958684600348
condition_multiplier,-0.06892958684600342,0.06892958684600342
score_didt,0.06758902912229886,0.06758902912229886
arrhenius_temp_proxy,-0.059337351044897194,0.059337351044897194
avg_cell_temp_mean_c,0.052087548027679544,0.052087548027679544
flag_rst_coulomb_any,0.05114170128440702,0.05114170128440702
rolling_observed_soh_mean_3,-0.050517520536998435,0.050517520536998435
prev2_observed_soh_pct,-0.049476551201875184,0.049476551201875184
prev_observed_soh_pct,-0.04908157187462646,0.04908157187462646
soc_mean_pct,0.048975590059392386,0.048975590059392386
rolling_latent_filter_delta_mean_5,-0.047636357453221756,0.047636357453221756
latent_soh_smooth_std_pct,-0.047306450285936094,0.047306450285936094
current_span_a,0.0468484217012568,0.0468484217012568
current_temp_stress_index,0.04400785651562161,0.04400785651562161
soc_min_pct,0.042388612775119426,0.042388612775119426
avg_cell_temp_max_c,0.04091809036089537,0.04091809036089537
avg_cell_temp_min_c,0.03803882886223945,0.03803882886223945
storage_stress_proxy,-0.03591829083208645,0.03591829083208645
current_abs_mean_a,0.03567105749196661,0.03567105749196661
delta_days,-0.031482135482942396,0.031482135482942396
charge_event_flag,-0.031438102698094016,0.031438102698094016
cap_est_span_raw,-0.03138606491516134,0.03138606491516134
rolling_sigma_mean_5,0.03091953503824596,0.03091953503824596
rolling_condition_mean_5,0.030919535038245873,0.030919535038245873
observed_soh_span_pct,-0.030789041162014356,0.030789041162014356
cap_est_delta_raw,-0.030618289008599073,0.030618289008599073
latent_filter_delta_2,-0.02974598507725051,0.02974598507725051
score_event_type,-0.028870531083400375,0.028870531083400375
flag_new_est_batt_cap_any,-0.02827845932207818,0.02827845932207818
soc_max_pct,0.027420679854022252,0.027420679854022252
event_ah,-0.027419416625335605,0.027419416625335605
rolling_soc_mean_5,0.026908723728593438,0.026908723728593438
rolling_observed_soh_std_3,0.026558369420946863,0.026558369420946863
thermal_severity_proxy,-0.026205519701526146,0.026205519701526146
rolling_stress_index_max_5,0.025634025252862357,0.025634025252862357
throughput_stress_proxy,0.024756192027980312,0.024756192027980312
latent_soh_filterpy_filter_pct,-0.024362090217776397,0.024362090217776397
latent_soh_filter_pct,-0.024362090217776397,0.024362090217776397
event_efc,-0.024351127725475992,0.024351127725475992
soc_span_pct,-0.024019871645482752,0.024019871645482752
prev_latent_filter_pct,-0.022867852363619445,0.022867852363619445
_filterpy_pred_state_pct,-0.022633903188602776,0.022633903188602776
rolling_latent_filter_mean_3,-0.022153213895628042,0.022153213895628042
score_soc_edge,-0.02203444619440023,0.02203444619440023
