feature,importance_mean,importance_std
soc_min_pct,0.255855989814408,0.019150796506230267
current_rms_proxy_a,0.1169681160593922,0.02386816084373885
kalman_coulomb_gap_span_pct,0.10667947034109511,0.025206187779132444
current_abs_mean_a,0.0807117476579775,0.023326109318653757
kalman_coulomb_gap_mean_pct,0.07932991447596786,0.02022409446389182
score_gap,0.046844384074909054,0.007371830163684965
latent_soh_smooth_std_pct,0.04592571689221088,0.005446576788937275
throughput_stress_proxy,0.040421109266218336,0.005281403195037708
score_current,0.038252232594618144,0.017745811719142544
soc_edge_stress_proxy,0.035640147208302594,0.006103366775169083
arrhenius_temp_proxy,0.02316034205531441,0.003589311225819462
soc_mean_pct,0.021480059701114086,0.0047396389163937664
rolling_latent_filter_delta_mean_5,0.019859448538327662,0.006953360829719088
storage_stress_proxy,0.01741947815420066,0.005819434743434831
event_duration_s,0.014048168906898084,0.007175559776928552
prev_delta_days,0.01272997436187966,0.016138026822896924
delta_days,0.011774544814157562,0.0036334409925774342
duration_stress_index,0.011458125717450817,0.006701012277313256
time_since_prev_event_days,0.011369724341738819,0.008854463571301643
current_span_a,0.01090091233734003,0.004476535741203424
voltage_mean_v,0.00936005903730348,0.007328853898618145
rolling_stress_index_mean_5,0.008910966198509795,0.008639094734884709
measurement_sigma_pct,0.008747334566893495,0.00514125851174126
current_temp_stress_index,0.008059682639720612,0.003033825574981137
soc_span_pct,0.007382970307463532,0.002756043271339057
coulomb_gap_abs_pct,0.0071282303290877815,0.005105934375704141
avg_cell_temp_min_c,0.007059838862044421,0.008870762370275287
observed_soh_pct,0.006182234829492339,0.0020781686840150573
observed_soh_delta_1,0.005969682162196533,0.007280564137559718
rolling_stress_index_max_5,0.005315527450326751,0.001422635461994051
rolling_flight_frac_5,0.0049346049268523375,0.004029088051004181
cap_est_span_raw,0.004927497397434299,0.0018968660501687165
rolling_latent_filter_delta_std_5,0.004483620888834983,0.0017597738971490433
avg_cell_temp_max_c,0.004247077048546499,0.0023405309009313095
thermal_severity_proxy,0.003898421033891264,0.0015777412497930802
rolling_soc_mean_5,0.0038230406739292455,0.003887554330411881
p95_abs_current_a,0.0035936366120676855,0.0028350622090227884
voltage_max_v,0.003500381804155417,0.00314868928844517
observed_soh_span_pct,0.003282266612986984,0.001612757102102488
internal_resistance_proxy_ohm,0.0018064110025329595,0.004084404903876825
instant_stress_index,0.001681335654889571,0.0006830285359829848
_filterpy_pred_var_pct2,0.0015915977845856854,0.0010144485201741928
voltage_sag_proxy_v,0.0015135286413638037,0.005630062406870322
rolling_sigma_mean_5,0.0012956256638063657,0.001934939360170333
rolling_duration_mean_5,0.0012384530737892697,0.003343643371458067
rolling_observed_soh_std_3,0.0008556300160398767,0.003969009936868897
score_switch,0.0007762170778879973,0.0003245252068126725
observed_soh_slope_pct_per_day_1,0.0006032857003136716,0.004030279833187967
soc_stress_index,0.0005440459886553839,0.000617107515541935
event_ah,0.0005187044637767535,0.0021190776961057967
avg_cell_temp_span_c,0.0,0.0
prev_latent_filter_pct,0.0,0.0
prev2_observed_soh_pct,0.0,0.0
prev_observed_soh_pct,0.0,0.0
cumulative_ah,0.0,0.0
rolling_observed_soh_mean_3,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
rolling_condition_mean_5,0.0,0.0
event_type_charge,0.0,0.0
event_type_flight,0.0,0.0
event_type_other,0.0,0.0
battery_1,0.0,0.0
battery_2,0.0,0.0
observed_soh_iqr_pct,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
battery_id,0.0,0.0
cumulative_flight_count,0.0,0.0
cumulative_efc,0.0,0.0
score_didt,0.0,0.0
score_dtemp,0.0,0.0
score_observation_instability,0.0,0.0
score_event_type,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
_filterpy_pred_state_pct,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
soc_max_pct,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
plane_166,0.0,0.0
cumulative_event_count,0.0,0.0
flight_event_flag,0.0,0.0
estimation_reset_risk,0.0,0.0
condition_multiplier,0.0,0.0
charge_event_flag,0.0,0.0
event_efc,-6.28336091894166e-05,0.0005219351574853279
latent_filter_delta_2,-0.00020972447041724961,0.0037535335343657095
observed_soh_delta_2,-0.00044810257541691987,0.00029335199585028783
n_rows,-0.0005598202369341276,0.0034518071704049574
p95_abs_dcurrent_a_per_s,-0.0006478681685004872,0.0008607803570895759
rolling_current_abs_mean_5,-0.0010735189432809823,0.0058403490174835735
degradation_stress_proxy,-0.0011133134908213548,0.0004564134236052861
rolling_observed_delta_mean_5,-0.0012689021394795218,0.0025157619070272945
rolling_current_abs_max_5,-0.0013162224382365917,0.0006443625347582872
cap_est_delta_raw,-0.0014156420485774922,0.0012029688975056555
avg_cell_temp_mean_c,-0.0015618508302726042,0.004433867962509221
rolling_soc_span_mean_5,-0.0017600036371682836,0.0011702637355044342
score_soc_edge,-0.002960074512526534,0.002379612052411538
rolling_temp_mean_5,-0.003917444889783095,0.0023129392019600485
rolling_observed_delta_std_5,-0.005615598874493877,0.003952849027166348
rolling_temp_span_mean_5,-0.008050499718941718,0.007660823170713105
latent_filter_delta_1,-0.015271873207676912,0.01425132291735261
rolling_gap_days_mean_5,-0.04638322419882814,0.007501724339902536
prev2_latent_filter_pct,-0.052872910757835755,0.011671764151588052
latent_soh_filter_pct,-0.05813483791808292,0.010445767288029833
rolling_latent_filter_mean_3,-0.0612384780160772,0.012701190640040948
