epoch,train_loss,train_data_loss,train_degradation_loss,train_residual_loss,train_smoothness_loss,valid_mae,mean_calendar_sensitivity,mean_cycle_sensitivity,mean_thermal_sensitivity,mean_resistance_sensitivity,mean_history_sensitivity
1,6.463260549765367,5.694080114364624,2.1976074828551364,0.0008912650832476524,1.0808970500875148e-06,0.7861314336937594,0.01715436577796936,0.016954805701971054,0.015671946108341217,0.016739793121814728,0.019249046221375465
2,6.329936625865789,5.580028531643061,2.1425705391627092,0.00041707959070873377,5.4189977163332514e-06,0.69851928159415,0.016032814979553223,0.015280330553650856,0.014248790219426155,0.015619597397744656,0.017605695873498917
3,6.146394777756471,5.420030643160526,2.0753189680668025,0.0001243807390402743,1.6682868590578437e-05,0.6011407691312124,0.014639019966125488,0.013445526361465454,0.012754486873745918,0.014483317732810974,0.01632274128496647
4,7.371701139670152,6.3096979306294365,3.0342896970418782,9.447740068515905e-05,6.678381760139018e-05,0.5473358889660204,0.012847374193370342,0.011527610942721367,0.011617030017077923,0.014086197130382061,0.01615186035633087
5,5.5888444391580725,4.985654720893273,1.7233811043776,0.00032277106611917797,0.0006071889656595886,0.5037759528102645,0.011688902974128723,0.010852943174540997,0.012542929500341415,0.01916733756661415,0.023318331688642502
6,5.249165103985713,4.734278963162349,1.4710850165440486,0.00031485789042143064,0.002505913842469454,0.5149373893278191,0.010508527047932148,0.00989311933517456,0.012402333319187164,0.024458633735775948,0.030836790800094604
7,5.21539399257073,4.705786471183483,1.4559644231429467,0.0010016640780332426,0.0004387221997603774,0.5936834496187876,0.010079768486320972,0.009020764380693436,0.010060067288577557,0.015414600260555744,0.018294965848326683
8,5.184874378717863,4.670472300969637,1.4696769210008473,0.0007576893044992735,0.0008756508468650281,0.6174306295004236,0.009369384497404099,0.00878084171563387,0.010546637699007988,0.017606576904654503,0.021186480298638344
9,4.7580296993255615,4.373730540275574,1.0978677264199808,0.0022794949742582014,0.0017632325179874897,0.630361671907356,0.00866374745965004,0.008633196353912354,0.011244270019233227,0.021547239273786545,0.02620081603527069
10,4.7482558855643635,4.3435707825880785,1.1560989687075982,0.002525116827808478,0.0012249675346538424,0.5410420061594032,0.00823910441249609,0.007910223677754402,0.009975064545869827,0.018351390957832336,0.02207445353269577
11,4.69874395773961,4.37620853460752,0.9211676550599245,0.006334671947115567,0.0015635938616469502,0.5258468260248024,0.00783028919249773,0.007660453673452139,0.009915676899254322,0.019269978627562523,0.02324735000729561
12,4.897706206028278,4.453904216106121,1.2673749717382283,0.011036233199634947,0.0017853808822110295,0.46139609095561934,0.007574058137834072,0.0073279039934277534,0.00954150315374136,0.019269224256277084,0.023117754608392715
13,4.3094583337123575,4.02904493533648,0.8002520994498179,0.01625530774124021,0.0016604658449068666,0.4664926184229104,0.007177240215241909,0.007127674296498299,0.009338105097413063,0.01916368678212166,0.02288505621254444
14,4.302382863484896,4.007356368578398,0.8415860121066754,0.02356853321375988,0.002172564622014761,0.4579613467296922,0.0069163148291409016,0.00694362772628665,0.009236535057425499,0.019692353904247284,0.023680429905653
15,4.809094098898081,4.543967806375944,0.7564023870688218,0.01927133087213316,0.001329567632637918,0.4826287418962961,0.006702843122184277,0.006544569041579962,0.008325655944645405,0.01617693528532982,0.019873730838298798
16,4.109102762662447,3.853159631674106,0.7293295665429189,0.033885996985750705,0.00256987102329731,0.4541624597756259,0.006310530938208103,0.0063379970379173756,0.008648720569908619,0.0194745771586895,0.023693738505244255
17,4.046694834644978,3.8091056123375893,0.6761914875644904,0.04610905792707434,0.001244663610123098,0.44409069383000754,0.005939780734479427,0.005724847316741943,0.007382586132735014,0.014897902496159077,0.017991822212934494
18,3.969250064629775,3.7611845273237963,0.5918251596964322,0.0463397021483201,0.002387845888733864,0.4788593154355704,0.005625843536108732,0.005843050312250853,0.00804528221487999,0.018388161435723305,0.022312095388770103
19,3.974343318205613,3.778310326429514,0.5562267246154639,0.06767826335774055,0.001203472027555108,0.4376684901225998,0.005478574428707361,0.005314648151397705,0.006712194997817278,0.013758862391114235,0.016746096312999725
20,3.789655009141335,3.611979270210633,0.5023586062284616,0.09251206688797818,0.0019394141854718328,0.4515322489910815,0.005215480457991362,0.005356720648705959,0.007210067473351955,0.016154680401086807,0.019760629162192345
