,corr_with_next_observed_delta_step_5_pct,abs_corr
next_observed_soh_step_5_pct,0.2609425891484609,0.2609425891484609
latent_soh_smooth_std_pct,-0.1335419501439641,0.1335419501439641
rolling_gap_days_mean_5,-0.12558562620140526,0.12558562620140526
internal_resistance_proxy_ohm,-0.12156965498963071,0.12156965498963071
rolling_stress_index_max_5,0.11293548490313207,0.11293548490313207
prev_delta_days,-0.11059570390161517,0.11059570390161517
observed_soh_delta_1,-0.1080376477394687,0.1080376477394687
observed_soh_pct,-0.10745788805094952,0.10745788805094952
storage_stress_proxy,-0.10261694400150564,0.10261694400150564
rolling_latent_filter_delta_mean_5,-0.10079760749305279,0.10079760749305279
flag_rst_coulomb_any,0.1001364078354414,0.1001364078354414
delta_days,-0.09411946473130331,0.09411946473130331
rolling_sigma_mean_5,0.08914870734461393,0.08914870734461393
rolling_condition_mean_5,0.08914870734461372,0.08914870734461372
soc_max_pct,0.0874811751115629,0.0874811751115629
voltage_max_v,0.08654877123382888,0.08654877123382888
prev_observed_soh_pct,-0.08417494502628409,0.08417494502628409
rolling_observed_soh_mean_3,-0.08178601660230791,0.08178601660230791
rolling_duration_mean_5,0.08087136508425874,0.08087136508425874
latent_filter_delta_1,-0.08068729117294232,0.08068729117294232
prev2_observed_soh_pct,-0.07964789783527249,0.07964789783527249
score_current,0.07873383025044091,0.07873383025044091
score_gap,0.07782302565957913,0.07782302565957913
rolling_stress_index_mean_5,0.07588026425338178,0.07588026425338178
soc_mean_pct,0.07409391355182393,0.07409391355182393
time_since_prev_event_days,-0.07345133878792685,0.07345133878792685
p95_abs_current_a,0.06895136077442592,0.06895136077442592
latent_filter_delta_2,-0.06823569763487182,0.06823569763487182
cumulative_flight_count,-0.06743568041766705,0.06743568041766705
current_rms_proxy_a,0.0672997032265469,0.0672997032265469
rolling_soc_span_mean_5,0.06292033294149456,0.06292033294149456
n_rows,-0.05939768397598307,0.05939768397598307
cumulative_event_count,-0.05798348735814067,0.05798348735814067
rolling_temp_mean_5,-0.05733191937181502,0.05733191937181502
rolling_flight_frac_5,-0.055984465532030445,0.055984465532030445
voltage_mean_v,0.05517947315632019,0.05517947315632019
event_duration_s,-0.05477046424261596,0.05477046424261596
rolling_observed_delta_std_5,0.05403419596613136,0.05403419596613136
cumulative_efc,-0.053232772973189256,0.053232772973189256
throughput_stress_proxy,0.05278652446834613,0.05278652446834613
cumulative_ah,-0.05231385951502112,0.05231385951502112
rolling_current_abs_max_5,-0.05131135234509327,0.05131135234509327
avg_cell_temp_mean_c,0.05116652712355917,0.05116652712355917
rolling_observed_delta_mean_5,-0.049549471658946194,0.049549471658946194
current_span_a,0.04823817799814565,0.04823817799814565
observed_soh_iqr_pct,-0.0481444821380033,0.0481444821380033
soc_min_pct,0.04741234931625615,0.04741234931625615
avg_cell_temp_max_c,0.04708794894713352,0.04708794894713352
rolling_observed_soh_std_3,0.045630773480048965,0.045630773480048965
