model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,752,752,2.785904255319149,4.896671687689637,0.7538098050111035,2.785904255319149,4.896671687689637,-0.003882542448210291
ridge_raw_only,train,752,752,2.5481949949088527,4.344834044063756,0.8061726023258307,2.5481949949088527,4.344834044063756,0.20963570144602572
ridge_raw_plus_latent,train,752,752,2.5515933076357875,4.3151725202441735,0.8088100293951472,2.5515933076357875,4.3151725202441735,0.22039026050548205
elastic_raw_plus_latent_plus_history,train,752,752,2.7964064053602473,4.8295042056527056,0.7605174484208022,2.7964064053602473,4.8295042056527056,0.02346901848730165
ridge_raw_plus_latent_plus_history,train,752,752,2.4759987997435164,3.943407389969256,0.8403341374584234,2.4759987997435164,3.943407389969256,0.3489351920061097
gbdt_raw_plus_latent_plus_history,train,752,752,0.41414717439496956,0.5629065112390436,0.996746571071117,0.41414717439496956,0.5629065112390436,0.9867335882123617
random_forest_raw_plus_latent_plus_history,train,752,752,1.436800182756856,2.214881488229103,0.9496302533733951,1.436800182756856,2.214881488229103,0.7946087604818348
gam_spline_raw_plus_latent_plus_history,train,752,752,2.1577419785297924,3.301530065300476,0.8880821670053103,2.1577419785297924,3.301530065300476,0.5436359326289555
lstm_sequence,train,752,752,13.285848658135597,15.989496470628508,-1.6250546816308415,13.285848658135597,15.989496470628508,-9.704108536816419
gru_sequence,train,752,752,12.194584329077538,14.791161975518808,-1.2463290082994316,12.194584329077538,14.791161975518808,-8.15978995885074
physics_hybrid_nn,train,752,752,2.814449264648113,4.84228349477894,0.7592483882019472,2.814449264648113,4.84228349477894,0.01829420882812116
physics_informed_pinn,train,752,752,2.7212027083051966,4.627946165951778,0.7800897985563477,2.7212027083051966,4.627946165951778,0.10327861698347296
naive_zero_delta,valid,166,166,0.7469879518072289,1.1031171605407641,0.6530071608924211,0.7469879518072289,1.1031171605407641,-0.00011930326890952081
ridge_raw_only,valid,166,166,0.9420198515359014,1.2149461577281389,0.5790880123017188,0.9420198515359014,1.2149461577281389,-0.21317259732793792
ridge_raw_plus_latent,valid,166,166,1.1176201764096512,1.4344609713345986,0.41324783065995807,1.1176201764096512,1.4344609713345986,-0.6911650750520253
elastic_raw_plus_latent_plus_history,valid,166,166,0.7566972088277155,1.090494771305381,0.6609026420059811,0.7566972088277155,1.090494771305381,0.022637428802493087
ridge_raw_plus_latent_plus_history,valid,166,166,1.3680393385513392,1.7003657748624235,0.1755545212972177,1.3680393385513392,1.7003657748624235,-1.376256062989802
gbdt_raw_plus_latent_plus_history,valid,166,166,1.1836508730220112,1.5552000185323471,0.31031665815378473,1.1836508730220112,1.5552000185323471,-0.987838207547449
random_forest_raw_plus_latent_plus_history,valid,166,166,1.3507751091050662,1.781961163374577,0.0945307622755962,1.3507751091050662,1.781961163374577,-1.6097866039350843
gam_spline_raw_plus_latent_plus_history,valid,166,166,1.5460958464329753,1.93931506721366,-0.07244239596970581,1.5460958464329753,1.93931506721366,-2.0910446008389556
lstm_sequence,valid,166,166,1.5918593808829067,1.958274145654726,-0.09351365660413546,1.5918593808829067,1.958274145654726,-2.1517771927820704
gru_sequence,valid,166,166,1.793187382709549,2.1189602762025816,-0.28033276958838593,1.793187382709549,2.1189602762025816,-2.6902361465623748
physics_hybrid_nn,valid,166,166,0.9547396740281439,1.2216819889981296,0.5744078847730422,0.9547396740281439,1.2216819889981296,-0.22666188400955334
physics_informed_pinn,valid,166,166,0.8666693446147873,1.154987610779962,0.6196075554000868,0.8666693446147873,1.154987610779962,-0.09638523849788894
naive_zero_delta,test,156,156,3.8525641025641026,6.46043183441939,0.6160971334167118,3.8525641025641026,6.46043183441939,-0.09510332536573829
ridge_raw_only,test,156,156,4.13155154615161,6.1908230924173715,0.6474708403181626,4.13155154615161,6.1908230924173715,-0.0056081594072030505
ridge_raw_plus_latent,test,156,156,3.9417351130129887,5.917238363029795,0.6779402982104719,3.9417351130129887,5.917238363029795,0.08130758820605455
elastic_raw_plus_latent_plus_history,test,156,156,3.9553347623318995,6.497328418785192,0.6116995472048363,3.9553347623318995,6.497328418785192,-0.10764767369808559
ridge_raw_plus_latent_plus_history,test,156,156,4.157971934226235,5.940450465560028,0.675408595027943,4.157971934226235,5.940450465560028,0.0740857703574378
gbdt_raw_plus_latent_plus_history,test,156,156,10.923189136244122,14.84870965404446,-1.028036133736013,10.923189136244122,14.84870965404446,-4.785080829904025
random_forest_raw_plus_latent_plus_history,test,156,156,8.131752286261477,10.788647715715724,-0.07061243269899764,8.131752286261477,10.788647715715724,-2.053978850590882
gam_spline_raw_plus_latent_plus_history,test,156,156,4.384793852360995,5.96230150990942,0.6730162829078876,4.384793852360995,5.96230150990942,0.06726157292098256
lstm_sequence,test,156,156,8.25571133540227,12.0863180069064,-0.34365041880682656,8.25571133540227,12.0863180069064,-2.8328342136648073
gru_sequence,test,156,156,8.929588268964718,12.358439724851632,-0.4048357336936075,8.929588268964718,12.358439724851632,-3.007368575422502
physics_hybrid_nn,test,156,156,3.732009471991123,6.275862116928571,0.6377194279755312,3.732009471991123,6.275862116928571,-0.033424581249709595
physics_informed_pinn,test,156,156,3.8679881951747794,6.117754233223228,0.6557433720785928,3.8679881951747794,6.117754233223228,0.017989676995186277
naive_zero_delta,holdout,66,66,0.5757575757575758,0.8876253645985945,-0.019910846953937522,0.5757575757575758,0.8876253645985945,-0.7263581488933601
ridge_raw_only,holdout,66,66,0.945796175515352,1.2605116382950814,-1.0568211159727006,0.945796175515352,1.2605116382950814,-2.4814904704467486
ridge_raw_plus_latent,holdout,66,66,0.9166123766152678,1.2475767276827239,-1.014825005640506,0.9166123766152678,1.2475767276827239,-2.4104055050202726
elastic_raw_plus_latent_plus_history,holdout,66,66,0.6053846248651694,0.6711823212371388,0.41684524649789345,0.6053846248651694,0.6711823212371388,0.012919645103325661
ridge_raw_plus_latent_plus_history,holdout,66,66,0.9630852801006881,1.398215482736776,-1.5307603184350742,0.9630852801006881,1.398215482736776,-3.283706474614701
gbdt_raw_plus_latent_plus_history,holdout,66,66,0.574803474120215,0.7072504870008245,0.35248577624463384,0.574803474120215,0.7072504870008245,-0.09601879423380644
random_forest_raw_plus_latent_plus_history,holdout,66,66,0.6060309889887141,0.79656260246374,0.17862282813419894,0.6060309889887141,0.79656260246374,-0.3903089453362276
gam_spline_raw_plus_latent_plus_history,holdout,66,66,1.832159949623112,2.252446435096888,-5.567676401671274,1.832159949623112,2.252446435096888,-10.11681644447879
lstm_sequence,holdout,66,66,24.770021496397078,24.785473080060754,-794.2381895379868,24.770021496397078,24.785473080060754,-1345.0646417481516
gru_sequence,holdout,66,66,23.24574187307647,23.262072788209196,-699.4862634292941,23.24574187307647,23.262072788209196,-1184.682231609444
physics_hybrid_nn,holdout,66,66,0.6027892141631155,0.6921259637728389,0.37988378858327987,0.6027892141631155,0.6921259637728389,-0.049643386024780245
physics_informed_pinn,holdout,66,66,0.8709769971442946,1.1123029832446385,-0.6015813634431275,0.8709769971442946,1.1123029832446385,-1.7109262012002637
