model_family,trial,pretrain_val_mae,valid_level_mae,test_level_mae,plane_weight,replay_fraction,replay_weight,hidden_dim,physics_hidden_dim,degradation_weight,residual_weight,smoothness_weight,freeze_feature_backbone,step_weight,monotonic_weight,initial_weight
transfer_physics_hybrid,6,2.012607128064028,0.17531175682650943,0.5225668240181811,12.0,0.1,0.05,128,64.0,0.45,0.02,0.01,False,,,
transfer_physics_hybrid,5,2.004588085980595,0.20663900444613834,0.5202458134942017,10.0,0.15,0.08,96,64.0,0.4,0.02,0.02,True,,,
transfer_physics_hybrid,3,2.0033184206745998,0.20746325153388945,0.5188222142885124,6.0,0.1,0.1,64,48.0,0.3,0.01,0.01,False,,,
transfer_physics_hybrid,4,2.0137628185130683,0.2452763019402092,0.48297756699289707,8.0,0.1,0.08,96,48.0,0.35,0.02,0.01,False,,,
transfer_physics_hybrid,2,2.0249388024106625,0.31147628580948933,0.5451463171032513,4.0,0.05,0.1,64,32.0,0.25,0.01,0.01,False,,,
transfer_physics_hybrid,1,2.0249388024106625,0.3196015909852706,0.5556251070550873,3.0,0.0,0.0,64,32.0,0.25,0.01,0.01,False,,,
transfer_physics_pinn,4,2.6682699037284885,0.18882051059462487,0.6245145808668536,10.0,0.1,0.05,128,,,0.45,,,1.75,0.12,0.2
transfer_physics_pinn,1,2.973462841689887,0.19250756103186337,0.6382192827001063,4.0,0.0,0.0,64,,,0.2,,,1.2,0.05,0.08
transfer_physics_pinn,5,2.3914631690790924,0.29105897296785316,0.7130120942682845,12.0,0.0,0.0,128,,,0.3,,,2.0,0.1,0.12
transfer_physics_pinn,3,3.013624282071614,0.4660673623718541,0.6620238800122716,8.0,0.08,0.08,96,,,0.35,,,1.5,0.1,0.15
transfer_physics_pinn,2,2.9340205234481167,0.8137541263702166,0.858472359957296,6.0,0.05,0.08,64,,,0.25,,,1.3,0.08,0.1
