group,feature,selected
raw,observed_soh_pct,True
raw,current_abs_mean_a,True
raw,p95_abs_current_a,False
raw,current_span_a,False
raw,avg_cell_temp_mean_c,False
raw,avg_cell_temp_min_c,False
raw,avg_cell_temp_max_c,False
raw,avg_cell_temp_span_c,False
raw,soc_mean_pct,False
raw,soc_min_pct,False
raw,soc_max_pct,False
raw,soc_span_pct,False
raw,event_duration_s,False
raw,n_rows,True
raw,measurement_sigma_pct,False
raw,condition_multiplier,False
raw,delta_days,False
raw,flight_event_flag,False
raw,charge_event_flag,False
raw,cumulative_event_count,True
raw,cumulative_flight_count,False
operating,current_abs_mean_a,True
operating,p95_abs_current_a,False
operating,current_span_a,False
operating,p95_abs_dcurrent_a_per_s,False
operating,avg_cell_temp_mean_c,False
operating,avg_cell_temp_min_c,False
operating,avg_cell_temp_max_c,False
operating,avg_cell_temp_span_c,False
operating,p95_abs_dtemp_c_per_min,False
operating,soc_mean_pct,False
operating,soc_min_pct,False
operating,soc_max_pct,False
operating,soc_span_pct,False
operating,voltage_mean_v,False
operating,voltage_max_v,False
operating,event_duration_s,False
operating,n_rows,True
operating,delta_days,False
operating,measurement_sigma_pct,False
operating,condition_multiplier,False
operating,observed_soh_iqr_pct,True
operating,observed_soh_span_pct,False
operating,kalman_coulomb_gap_mean_pct,False
operating,kalman_coulomb_gap_span_pct,True
operating,cap_est_delta_raw,False
operating,cap_est_span_raw,True
operating,score_current,True
operating,score_didt,False
operating,score_dtemp,False
operating,score_soc_edge,False
operating,score_observation_instability,False
operating,score_gap,False
operating,score_switch,False
operating,score_event_type,False
latent,latent_soh_filter_pct,False
latent,latent_soh_filterpy_filter_pct,True
latent,_filterpy_pred_state_pct,False
latent,_filterpy_pred_var_pct2,True
latent,latent_soh_smooth_std_pct,True
latent,measurement_sigma_pct,False
latent,condition_multiplier,False
physics,arrhenius_temp_proxy,False
physics,time_above_40c_proxy_min,False
physics,thermal_severity_proxy,True
physics,current_rms_proxy_a,True
physics,throughput_stress_proxy,False
physics,voltage_sag_proxy_v,False
physics,internal_resistance_proxy_ohm,False
physics,soc_edge_stress_proxy,False
physics,storage_stress_proxy,False
physics,coulomb_gap_abs_pct,False
physics,estimation_reset_risk,False
physics,degradation_stress_proxy,False
physics,instant_stress_index,False
physics,current_temp_stress_index,False
physics,soc_stress_index,False
physics,duration_stress_index,False
static_numeric,battery_id,False
static_numeric,flight_event_flag,False
static_numeric,charge_event_flag,False
static_numeric,flag_new_est_batt_cap_any,False
static_numeric,flag_rst_coulomb_any,True
static_categorical,plane_id,False
static_categorical,battery_id_str,False
static_categorical,event_type,False
history,prev_observed_soh_pct,False
history,prev2_observed_soh_pct,False
history,prev_latent_filter_pct,False
history,prev2_latent_filter_pct,False
history,prev_delta_days,False
history,time_since_prev_event_days,False
history,observed_soh_delta_1,True
history,observed_soh_delta_2,False
history,latent_filter_delta_1,True
history,latent_filter_delta_2,True
history,observed_soh_slope_pct_per_day_1,False
history,rolling_observed_soh_mean_3,False
history,rolling_observed_soh_std_3,False
history,rolling_observed_delta_mean_5,False
history,rolling_observed_delta_std_5,False
history,rolling_latent_filter_mean_3,False
history,rolling_latent_filter_delta_mean_5,False
history,rolling_latent_filter_delta_std_5,False
history,rolling_current_abs_mean_5,False
history,rolling_current_abs_max_5,False
history,rolling_temp_mean_5,False
history,rolling_temp_span_mean_5,False
history,rolling_soc_mean_5,False
history,rolling_soc_span_mean_5,False
history,rolling_duration_mean_5,False
history,rolling_sigma_mean_5,False
history,rolling_condition_mean_5,False
history,rolling_gap_days_mean_5,False
history,rolling_flight_frac_5,False
history,current_temp_stress_index,False
history,soc_stress_index,False
history,duration_stress_index,False
history,instant_stress_index,False
history,rolling_stress_index_mean_5,False
history,rolling_stress_index_max_5,False
multiscale_history,observed_soh_pct_lag1,False
multiscale_history,observed_soh_pct_lag2,False
multiscale_history,observed_soh_pct_lag3,False
multiscale_history,observed_soh_pct_lag5,False
multiscale_history,observed_soh_pct_lag8,False
multiscale_history,observed_soh_pct_lag13,False
multiscale_history,observed_soh_pct_diff1,False
multiscale_history,observed_soh_pct_pct_change1,False
multiscale_history,observed_soh_pct_rate_per_day1,False
multiscale_history,observed_soh_pct_diff3,False
multiscale_history,observed_soh_pct_pct_change3,False
multiscale_history,observed_soh_pct_rate_per_day3,False
multiscale_history,observed_soh_pct_diff5,False
multiscale_history,observed_soh_pct_pct_change5,False
multiscale_history,observed_soh_pct_rate_per_day5,False
multiscale_history,observed_soh_pct_rollmean_2,False
multiscale_history,observed_soh_pct_rollstd_2,False
multiscale_history,observed_soh_pct_rollmin_2,False
multiscale_history,observed_soh_pct_rollmax_2,False
multiscale_history,observed_soh_pct_rollslope_2,False
multiscale_history,observed_soh_pct_rollmean_3,False
multiscale_history,observed_soh_pct_rollstd_3,False
multiscale_history,observed_soh_pct_rollmin_3,False
multiscale_history,observed_soh_pct_rollmax_3,False
multiscale_history,observed_soh_pct_rollslope_3,False
multiscale_history,observed_soh_pct_rollmean_5,False
multiscale_history,observed_soh_pct_rollstd_5,False
multiscale_history,observed_soh_pct_rollmin_5,True
multiscale_history,observed_soh_pct_rollmax_5,False
multiscale_history,observed_soh_pct_rollslope_5,False
multiscale_history,observed_soh_pct_rollmean_8,False
multiscale_history,observed_soh_pct_rollstd_8,False
multiscale_history,observed_soh_pct_rollmin_8,False
multiscale_history,observed_soh_pct_rollmax_8,False
multiscale_history,observed_soh_pct_rollslope_8,False
multiscale_history,observed_soh_pct_rollmean_13,False
multiscale_history,observed_soh_pct_rollstd_13,False
multiscale_history,observed_soh_pct_rollmin_13,False
multiscale_history,observed_soh_pct_rollmax_13,True
multiscale_history,observed_soh_pct_rollslope_13,False
multiscale_history,observed_soh_pct_rollmean_21,False
multiscale_history,observed_soh_pct_rollstd_21,False
multiscale_history,observed_soh_pct_rollmin_21,False
multiscale_history,observed_soh_pct_rollmax_21,False
multiscale_history,observed_soh_pct_rollslope_21,False
multiscale_history,observed_soh_pct_ewmmean_3,False
multiscale_history,observed_soh_pct_ewmstd_3,False
multiscale_history,observed_soh_pct_ewmmean_5,False
multiscale_history,observed_soh_pct_ewmstd_5,False
multiscale_history,observed_soh_pct_ewmmean_8,False
multiscale_history,observed_soh_pct_ewmstd_8,False
multiscale_history,observed_soh_pct_ewmmean_13,False
multiscale_history,observed_soh_pct_ewmstd_13,False
multiscale_history,latent_soh_filter_pct_lag1,False
multiscale_history,latent_soh_filter_pct_lag2,False
multiscale_history,latent_soh_filter_pct_lag3,False
multiscale_history,latent_soh_filter_pct_lag5,False
