feature,family,non_null_rows,missing_frac,n_unique,pearson_next_level,spearman_next_level,pearson_next_delta,spearman_next_delta,combined_score
observed_soh_pct,operating,773,0.0,36,0.9704690963716339,0.9689677551330275,-0.1255644603432472,-0.13831658923604415,0.3423038761663115
observed_soh_pct_lag1,history,771,0.002587322121604174,36,0.9476244312888886,0.9454215269279317,-0.09732044207924588,-0.11405717780387505,0.31709753480359615
prev_observed_soh_pct,history,771,0.002587322121604174,36,0.9476244312888886,0.9454215269279317,-0.09732044207924588,-0.11405717780387505,0.31709753480359615
observed_soh_pct_rollmean_2,history,771,0.002587322121604174,70,0.9427079153545573,0.9394963987569105,-0.10047692340065502,-0.11341846353266986,0.3163766369588903
observed_soh_pct_rollmin_2,history,771,0.002587322121604174,36,0.9366510269760194,0.9329233969902275,-0.0997131039438467,-0.11573307313717904,0.3155974263410206
observed_soh_pct_ewmmean_3,history,771,0.002587322121604174,766,0.9415213555219603,0.9361563098350262,-0.09895365435335851,-0.11359001516140943,0.31537718515609175
rolling_observed_soh_mean_3,history,771,0.002587322121604174,104,0.9363513875705924,0.9317420677672753,-0.0980531879097436,-0.11587936057297477,0.31495811755291225
observed_soh_pct_rollmean_3,history,771,0.002587322121604174,104,0.9363513875705924,0.9317420677672753,-0.0980531879097436,-0.11587936057297477,0.31495811755291225
observed_soh_pct_rollmin_3,history,771,0.002587322121604174,36,0.9246103926823221,0.9191352056788141,-0.09968647898479512,-0.11925901939827843,0.31390382254471816
observed_soh_pct_rollmax_2,history,771,0.002587322121604174,36,0.9365907127174645,0.93576638992452,-0.09994412283189752,-0.10970696175304359,0.31337539939886333
observed_soh_pct_ewmmean_5,history,771,0.002587322121604174,766,0.9312338302774673,0.9244405350728561,-0.09903499813006059,-0.10785796366025568,0.3100360463748084
observed_soh_pct_rollmean_5,history,771,0.002587322121604174,165,0.9222034227998746,0.9153506679521588,-0.0987252209780935,-0.10987471935814694,0.30858413247740546
