feature,family,non_null_rows,missing_frac,n_unique,pearson_next_level,spearman_next_level,pearson_next_delta,spearman_next_delta,combined_score
observed_soh_pct,operating,773,0.0,36,0.9704690963716339,0.9689677551330275,-0.1255644603432472,-0.13831658923604415,0.3423038761663115
observed_soh_pct_rollmin_5,history,771,0.002587322121604174,36,0.9053883494518942,0.8933004908562189,-0.09247280981494,-0.10967960291697679,0.3016315728307438
observed_soh_pct_rollmax_13,history,771,0.002587322121604174,31,0.8418573395902992,0.8620380180589514,-0.11264902566108621,-0.11207840722215547,0.2977214276161685
latent_soh_filterpy_filter_pct,latent,773,0.0,773,0.7953732564543455,0.7967180157301984,-0.05864380434999897,-0.04214377390832679,0.23560286756871107
cumulative_event_count,operating,773,0.0,387,-0.7204113485389534,-0.7227325172522422,0.005307785185119433,-0.028067523002860466,0.1946737333485547
latent_filter_delta_1,latent,771,0.002587322121604174,771,0.35102455755930523,0.36355607346152197,-0.07899970454319752,-0.1738577208475784,0.19157175251952835
current_temp_stress_index_ewmstd_13,physics,773,0.0,752,0.4699170053534245,0.4356038106166249,-0.00943972197082394,-0.07239965651293183,0.1477440341499027
current_temp_stress_index_rollmax_13,physics,771,0.002587322121604174,117,0.4098054144388501,0.34623113453994087,-0.02935688651715396,-0.09967502919965104,0.1465760407198653
current_temp_stress_index_rollstd_13,physics,773,0.0,768,0.4122455930511033,0.32959615037475093,-0.02958924445049811,-0.10221572351370875,0.14553783077764132
duration_stress_index_rollmax_21,physics,771,0.002587322121604174,80,-0.37782642106381115,-0.3884462693144587,0.015929434318373743,0.08802966267835623,0.14044176100432235
current_temp_stress_index_rollmax_21,physics,771,0.002587322121604174,80,0.41765991906108774,0.30348823526473623,-0.024174509142914132,-0.09935037469737677,0.139249248552513
duration_stress_index_rollmean_21,physics,771,0.002587322121604174,771,-0.29391678502555285,-0.3484792248043701,0.04354405423459574,0.09872388869162987,0.13915252840482295
duration_stress_index_ewmmean_13,physics,771,0.002587322121604174,752,-0.296569724301126,-0.33261189885790066,0.04717724809388985,0.0980085694897463,0.1378057879573505
latent_soh_smooth_std_pct,latent,773,0.0,773,0.47633799510772457,0.4653235136992932,-0.02850068991310077,0.022613740096942673,0.13615871658322087
latent_filter_delta_2,latent,769,0.005174644243208237,769,0.34586564931795555,0.3544198637019397,-0.024358485517605933,-0.08953861549277423,0.1353494671141167
internal_resistance_proxy_ohm_rollmax_21,physics,771,0.002587322121604174,84,-0.38015385753178704,-0.3025165110833666,-0.018380128043489985,0.09780928371043592,0.13292107849842685
current_temp_stress_index_rollmean_21,physics,771,0.002587322121604174,771,0.37218534948155585,0.3560855048759367,-0.010939345618373642,-0.0808333189194008,0.13028815787878856
internal_resistance_proxy_ohm_rollmean_21,physics,771,0.002587322121604174,767,-0.3371104631529728,-0.2788419481188914,0.009762739470344579,0.1068060546519551,0.12652888496761416
score_current,operating,754,0.02457956015523932,322,0.12719330205487275,0.1132311199348283,0.13306406179742492,0.122471931794729,0.12473558604256706
duration_stress_index_diff1,physics,738,0.04527813712807249,722,-0.007284093660210687,0.0020769478657054674,-0.1870438200087589,-0.1448173075560904,0.12232088594874525
degradation_stress_proxy_rollstd_21,physics,773,0.0,770,-0.22430209380129443,-0.24066669214328446,-0.06515678631686732,-0.09524123093627888,0.12093580301800781
n_rows,operating,773,0.0,576,-0.1776178462662662,-0.09594001316631749,-0.22561186919154078,-0.04612349902073972,0.12059192191836934
duration_stress_index_ewmstd_13,physics,773,0.0,751,-0.333513629008621,-0.24044525854587506,0.01781489652718572,0.09975208996492692,0.11965106112511618
current_temp_stress_index_rollmax_8,physics,771,0.002587322121604174,184,0.39620479568853995,0.34839073492857164,0.0058398837378000725,-0.05448142671414222,0.11814769695084376
flag_rst_coulomb_any,operating,773,0.0,2,0.14055139576574469,0.12987153357847775,0.10346991391448661,0.07394369712185778,0.0978515074925281
current_rms_proxy_a,operating,754,0.02457956015523932,728,0.1365736865032045,0.11426551156745039,0.10499640462184744,0.05380909612202786,0.08651021002690479
observed_soh_delta_1,operating,771,0.002587322121604174,25,0.08924044906787763,0.018614485394957983,-0.11751475040824712,-0.07347426986014874,0.08003406427557253
kalman_coulomb_gap_span_pct,operating,754,0.02457956015523932,549,0.15105981695566872,-0.1814725953116716,-0.004805812091993419,-0.0801022772748376,0.07981463939359255
cap_est_span_raw,operating,754,0.02457956015523932,235,-0.08694966664827339,0.21226867417131579,-0.009697515091878757,-0.07616964195373536,0.07772086119726924
current_abs_mean_a,operating,754,0.02457956015523932,728,0.19722626665454399,0.17347219961103458,0.05293769854046066,0.032176134248198054,0.0761040265809369
_filterpy_pred_var_pct2,latent,773,0.0,772,0.08102818853959667,0.3918090227806956,0.0004983626102652534,0.01767706588856129,0.07497836070399616
observed_soh_iqr_pct,operating,773,0.0,11,-0.1204933954661678,-0.05888161675814314,-0.1207113486042972,-0.03911220215188815,0.07469547760997708
thermal_severity_proxy,operating,754,0.02457956015523932,732,-0.040905203867948305,-0.0857380723739187,-0.04675471828217476,-0.07365535887212672,0.06412255821999209
event_type__other,static_categorical,773,0.0,2,-0.03497642891390557,-0.03403890153888676,0.0691526737199493,0.030180716984343964,0.042930602881163155
event_type__flight,static_categorical,773,0.0,2,0.06066023195549275,0.0521788510614418,0.008476844867326956,-0.04929088965103214,0.0386168046579281
event_type__charge,static_categorical,773,0.0,2,-0.03175832688077108,-0.02449020337977819,-0.05740481767064595,0.02454704858264098,0.03511698035842606
