feature,coef,abs_coef
observed_soh_pct,1.2099944378585423,1.2099944378585423
prev_observed_soh_pct,1.1865414728674593,1.1865414728674593
rolling_latent_filter_std_3,-0.9341093464436548,0.9341093464436548
rolling_temp_mean_5,-0.7947834729066783,0.7947834729066783
rolling_current_abs_max_5,-0.7667440623501733,0.7667440623501733
rolling_latent_filter_delta_mean_5,-0.7077648596555642,0.7077648596555642
rolling_current_abs_mean_5,0.6901765124283691,0.6901765124283691
latent_soh_filterpy_filter_pct,-0.6705555094225906,0.6705555094225906
latent_soh_filter_pct,-0.6705555094225885,0.6705555094225885
_filterpy_pred_state_pct,-0.6684460952168791,0.6684460952168791
prev_latent_filter_pct,-0.6607921130316917,0.6607921130316917
rolling_latent_filter_mean_3,-0.6525206373457497,0.6525206373457497
time_since_prev_event_days,-0.4544244284383556,0.4544244284383556
delta_days,0.3598748912784819,0.3598748912784819
event_duration_s,-0.3437837847013285,0.3437837847013285
rolling_gap_days_mean_5,0.28169318422161643,0.28169318422161643
prev2_latent_filter_pct,-0.2515688042263052,0.2515688042263052
rolling_soc_span_mean_5,0.24551586918434265,0.24551586918434265
soc_span_pct,0.22503051636863658,0.22503051636863658
current_temp_stress_index,-0.19403077169736163,0.19403077169736163
current_abs_mean_a,0.16445937014715378,0.16445937014715378
observed_soh_delta_1,0.1544929714053891,0.1544929714053891
avg_cell_temp_mean_c,0.12849026830590962,0.12849026830590962
rolling_duration_mean_5,-0.12150753754813338,0.12150753754813338
battery_2,0.11277259642755039,0.11277259642755039
battery_1,-0.11277259642754324,0.11277259642754324
rolling_soc_mean_5,-0.10854543038103899,0.10854543038103899
event_type_flight,-0.10163826411136934,0.10163826411136934
p95_abs_current_a,0.08160705919091481,0.08160705919091481
prev_delta_days,-0.07244336631180193,0.07244336631180193
event_type_other,0.06467724827921041,0.06467724827921041
rolling_stress_index_mean_5,-0.06383775236729772,0.06383775236729772
rolling_measurement_sigma_mean_5,0.0519072761075645,0.0519072761075645
rolling_condition_multiplier_mean_5,0.051907276107560914,0.051907276107560914
avg_cell_temp_span_c,-0.05038147489666457,0.05038147489666457
event_type_charge,0.04886761662193927,0.04886761662193927
latent_filter_delta_2,-0.04849380630521885,0.04849380630521885
latent_filter_delta_1,0.04583044807570848,0.04583044807570848
soc_stress_index,-0.03915293343821695,0.03915293343821695
rolling_latent_filter_delta_std_5,-0.03849817749363576,0.03849817749363576
_filterpy_pred_var_pct2,-0.03817649052360345,0.03817649052360345
latent_filter_slope_pct_per_day_1,-0.03553441072136253,0.03553441072136253
measurement_sigma_pct,0.031144879796542985,0.031144879796542985
condition_multiplier,0.03114487979653668,0.03114487979653668
rolling_temp_span_mean_5,0.02814620825357706,0.02814620825357706
soc_mean_pct,0.012623738677926676,0.012623738677926676
