feature,importance_mean,importance_std
rolling_temp_mean_5,0.031993153423210165,0.008353889659176255
battery_id,0.012237563118204698,0.003168403773994126
rolling_temp_span_mean_5,0.0055437490817204175,0.0016772095451473411
voltage_sag_proxy_v,0.004644454944960597,0.0006386760741059192
rolling_gap_days_mean_5,0.004526487977602578,0.0031521825794537024
rolling_observed_delta_mean_5,0.004506578813756335,0.0014659390938338332
prev_delta_days,0.004361011106306467,0.0020794632515300712
observed_soh_pct,0.004318094012795015,0.0005067258183251688
latent_soh_filter_std_pct,0.004274682827898513,0.002034927710602764
throughput_stress_proxy,0.003936676866478006,0.001016849409912211
soc_span_pct,0.003121279949357003,0.00022949354473693825
thermal_severity_proxy,0.003085354124048223,0.0005881394341123661
_filterpy_pred_state_pct,0.003042595440078255,0.0004907598991508198
kalman_coulomb_gap_span_pct,0.0026440583067989464,0.0019065254275507336
current_abs_mean_a,0.0022053221716526574,0.0002754727844935813
n_rows,0.002130963500633154,0.0004876882542331421
rolling_observed_soh_mean_3,0.00203438043500892,0.0008681297626113328
_filterpy_pred_var_pct2,0.0020275584471797893,0.0005987205145301734
latent_filter_delta_2,0.0019610872325967143,0.0013236344242947811
storage_stress_proxy,0.0018516363748735999,0.002120410115154054
duration_stress_index,0.0018280142878431605,0.0007568325614151333
arrhenius_temp_proxy,0.0014810444301311954,0.000517426614442761
coulomb_gap_abs_pct,0.0013374189995018603,0.0004901043984069337
degradation_stress_proxy,0.0009363710237979106,0.0003271460869766517
observed_soh_span_pct,0.0008779359276405608,0.00024780079777724027
prev2_observed_soh_pct,0.0008751440658103071,0.000640980094035501
soc_edge_stress_proxy,0.0008081182338783854,0.00023691887596344007
rolling_flight_frac_5,0.0007089386997599867,0.001763513138633284
current_span_a,0.0006313111600844579,0.00040258988171566377
voltage_max_v,0.00048008174364531084,0.00015386294077829402
p95_abs_dcurrent_a_per_s,0.00035144868824836805,0.0003096427430672559
prev_observed_soh_pct,0.00031393891944464514,0.0016580207887296027
measurement_sigma_pct,0.00028846447909716135,0.0005326135124703654
delta_days,0.00023679750357334938,0.0009529113082271306
event_type_other,0.0002088696031582238,0.00013003384081920467
internal_resistance_proxy_ohm,0.00020199157496323395,0.00031863920162465307
observed_soh_delta_1,0.0001843322740711528,0.0001244706991977799
soc_stress_index,0.00015945283948175514,0.0006557793652675187
score_gap,0.00013521254261155135,0.0001248488104818062
avg_cell_temp_mean_c,0.00010796924609453029,0.0004007469574175719
observed_soh_iqr_pct,7.29459606220395e-05,2.921391887666499e-05
cap_est_delta_raw,6.038122958305081e-05,0.00022589587915829653
event_type_charge,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
estimation_reset_risk,0.0,0.0
event_type_flight,0.0,0.0
prev_latent_filter_pct,0.0,0.0
rolling_condition_mean_5,0.0,0.0
battery_2,0.0,0.0
time_since_prev_event_days,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
soc_max_pct,0.0,0.0
plane_166,0.0,0.0
cumulative_event_count,0.0,0.0
cumulative_ah,0.0,0.0
score_didt,0.0,0.0
score_dtemp,0.0,0.0
cumulative_efc,0.0,0.0
charge_event_flag,0.0,0.0
score_observation_instability,0.0,0.0
flight_event_flag,0.0,0.0
condition_multiplier,0.0,0.0
score_switch,0.0,0.0
score_event_type,0.0,0.0
cumulative_flight_count,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
cap_est_span_raw,-1.4918686575349227e-05,0.0009475502995075119
kalman_coulomb_gap_mean_pct,-6.484339894381463e-05,0.0004212022130261205
rolling_current_abs_max_5,-7.677853539966861e-05,0.00033840181460810135
rolling_observed_soh_std_3,-0.00013131185942238943,0.0009472416194379538
score_current,-0.00014996116100576273,0.00012748703347003842
avg_cell_temp_max_c,-0.00022073139691709543,5.9501078507487564e-05
observed_soh_delta_2,-0.0002483924584806729,0.0005874038589653559
observed_soh_slope_pct_per_day_1,-0.0003065248343245841,0.000450559930104129
event_duration_s,-0.00032660341148949,0.0007567750478790208
rolling_latent_filter_mean_3,-0.00043297927334338124,0.002349026795637009
event_ah,-0.0005047364307691815,0.00025430843837887136
soc_min_pct,-0.0005629804544320827,0.0003985697563254815
avg_cell_temp_min_c,-0.0006300669681889914,0.0018246216043176268
avg_cell_temp_span_c,-0.000698486151493416,0.00025931453143140834
current_rms_proxy_a,-0.0007557928187551077,0.00024858818872078867
current_temp_stress_index,-0.0009450752638611171,0.0003581333727311487
battery_1,-0.000988222004892947,0.000233532593284508
rolling_stress_index_mean_5,-0.001078551921915505,0.00048616581348392225
prev2_latent_filter_pct,-0.0012452329864569122,0.0023255212023092515
rolling_sigma_mean_5,-0.0013762751052015965,0.00039266098063102226
rolling_soc_span_mean_5,-0.001597283701362695,0.00020694142371258356
rolling_duration_mean_5,-0.0018759614857545514,0.0008806564047876083
instant_stress_index,-0.002002696396396253,0.000455607489233573
rolling_stress_index_max_5,-0.002015855085463336,0.001225339338204888
rolling_soc_mean_5,-0.0021121128701044435,0.0007159636405902313
rolling_latent_filter_delta_std_5,-0.0021695817096746063,0.0007601052759843025
score_soc_edge,-0.0026534395611103713,0.0007182934897711108
latent_filter_delta_1,-0.0029938698679891295,0.003990745521492451
p95_abs_current_a,-0.003434383688995446,0.0005209036959785884
event_efc,-0.003829635277690535,0.0009382370827923664
rolling_current_abs_mean_5,-0.004914071497652994,0.0032782356660160405
soc_mean_pct,-0.007196346408137178,0.0006284565508596191
rolling_observed_delta_std_5,-0.007942461369424248,0.002435666223675162
voltage_mean_v,-0.011473377139669515,0.0010535361151923378
rolling_latent_filter_delta_mean_5,-0.0493215733202728,0.01073847713857326
latent_soh_filter_pct,-0.06226421538309142,0.009616868323949885
