feature,coef,abs_coef
cumulative_ah,-35.176574303838855,35.176574303838855
cumulative_efc,26.61336176478309,26.61336176478309
current_rms_proxy_a,24.580575563031854,24.580575563031854
p95_abs_current_a,-23.289419824050782,23.289419824050782
prev_observed_soh_pct,21.856759108430538,21.856759108430538
prev_latent_filter_pct,21.619001455477864,21.619001455477864
cumulative_event_count,19.417893399666973,19.417893399666973
observed_soh_pct,-17.12868841093156,17.12868841093156
latent_soh_filter_pct,-16.936135518112195,16.936135518112195
latent_soh_filterpy_filter_pct,-16.93613551810982,16.93613551810982
cumulative_flight_count,-16.17756955590326,16.17756955590326
event_efc,14.404825226570836,14.404825226570836
rolling_latent_filter_mean_3,13.062392803123746,13.062392803123746
event_duration_s,10.816794239104055,10.816794239104055
soc_min_pct,9.18178563014171,9.18178563014171
score_observation_instability,8.406665057086288,8.406665057086288
soc_span_pct,-8.368756700394924,8.368756700394924
n_rows,-7.609288534287683,7.609288534287683
_filterpy_pred_state_pct,-7.240237305765779,7.240237305765779
condition_multiplier,-6.574666188634244,6.574666188634244
measurement_sigma_pct,-6.574666188510326,6.574666188510326
score_gap,6.3353427742884545,6.3353427742884545
degradation_stress_proxy,5.0803633329712605,5.0803633329712605
thermal_severity_proxy,-4.850047348759981,4.850047348759981
observed_soh_delta_1,4.7977476273153234,4.7977476273153234
_filterpy_pred_var_pct2,4.191385134936445,4.191385134936445
rolling_stress_index_mean_5,3.760760905727237,3.760760905727237
soc_max_pct,-3.6117751234782167,3.6117751234782167
soc_stress_index,3.4873096343581027,3.4873096343581027
current_temp_stress_index,-3.2299785405802734,3.2299785405802734
soc_mean_pct,-3.089581108816166,3.089581108816166
rolling_soc_span_mean_5,-2.959392712819685,2.959392712819685
avg_cell_temp_mean_c,2.88576078047426,2.88576078047426
event_ah,-2.7527618744006697,2.7527618744006697
instant_stress_index,2.6891018611193647,2.6891018611193647
cap_est_delta_raw,-2.5217866396357165,2.5217866396357165
duration_stress_index,-2.5131053474717806,2.5131053474717806
score_didt,2.277267469599946,2.277267469599946
score_soc_edge,2.1600602914326963,2.1600602914326963
flag_new_est_batt_cap_any,2.1425462510893167,2.1425462510893167
score_switch,1.9877833838503822,1.9877833838503822
estimation_reset_risk,1.8814591375891745,1.8814591375891745
latent_soh_filter_std_pct,-1.876306479776039,1.876306479776039
soc_edge_stress_proxy,-1.8356402837359667,1.8356402837359667
cap_est_span_raw,1.7761484210033731,1.7761484210033731
internal_resistance_proxy_ohm,-1.7235353304038965,1.7235353304038965
avg_cell_temp_span_c,1.5245803570599714,1.5245803570599714
score_current,1.4584955099861214,1.4584955099861214
avg_cell_temp_max_c,-1.3655098374760661,1.3655098374760661
prev2_observed_soh_pct,-1.2992499492311935,1.2992499492311935
arrhenius_temp_proxy,-1.2838438715060883,1.2838438715060883
rolling_duration_mean_5,-1.1130441404120577,1.1130441404120577
rolling_current_abs_mean_5,-0.9991259048287013,0.9991259048287013
voltage_sag_proxy_v,0.969038842340001,0.969038842340001
voltage_mean_v,0.9299313067472449,0.9299313067472449
rolling_current_abs_max_5,-0.8989956955427846,0.8989956955427846
rolling_flight_frac_5,0.8409740702802636,0.8409740702802636
rolling_gap_days_mean_5,-0.7931860336347754,0.7931860336347754
kalman_coulomb_gap_span_pct,-0.7027093018364327,0.7027093018364327
observed_soh_iqr_pct,0.6994653686176026,0.6994653686176026
avg_cell_temp_min_c,0.6851636240863577,0.6851636240863577
storage_stress_proxy,-0.6457780295400973,0.6457780295400973
latent_filter_delta_1,-0.5963960392522107,0.5963960392522107
event_type_charge,0.5502586020431341,0.5502586020431341
charge_event_flag,0.5502586018491191,0.5502586018491191
coulomb_gap_abs_pct,-0.548349647983686,0.548349647983686
prev2_latent_filter_pct,-0.5220215257559119,0.5220215257559119
time_since_prev_event_days,0.5204481253891196,0.5204481253891196
latent_filter_delta_2,-0.5006081516814159,0.5006081516814159
rolling_latent_filter_delta_std_5,-0.4901434694643273,0.4901434694643273
score_event_type,0.4868568194316396,0.4868568194316396
score_dtemp,0.47897234772264674,0.47897234772264674
event_type_other,-0.4304753181365165,0.4304753181365165
rolling_condition_mean_5,0.4127652395844357,0.4127652395844357
rolling_sigma_mean_5,0.41276523949699545,0.41276523949699545
rolling_stress_index_max_5,-0.41236590511620547,0.41236590511620547
rolling_observed_delta_mean_5,-0.37669501523875853,0.37669501523875853
rolling_observed_soh_mean_3,-0.3738169036093731,0.3738169036093731
voltage_max_v,-0.37281121472471346,0.37281121472471346
current_span_a,-0.3460761145475366,0.3460761145475366
throughput_stress_proxy,-0.2983392861702458,0.2983392861702458
rolling_observed_soh_std_3,0.2975270587120678,0.2975270587120678
rolling_temp_mean_5,0.29127074073941833,0.29127074073941833
flight_event_flag,-0.2589016603853232,0.2589016603853232
event_type_flight,-0.25890166012902044,0.25890166012902044
rolling_soc_mean_5,-0.2574378045528623,0.2574378045528623
flag_rst_coulomb_any,0.24520642715036226,0.24520642715036226
p95_abs_dtemp_c_per_min,-0.22919544741885717,0.22919544741885717
observed_soh_slope_pct_per_day_1,0.22737685222825096,0.22737685222825096
p95_abs_dcurrent_a_per_s,0.21085323494785427,0.21085323494785427
kalman_coulomb_gap_mean_pct,-0.17652985689170214,0.17652985689170214
rolling_temp_span_mean_5,-0.17328256372590548,0.17328256372590548
observed_soh_delta_2,-0.1615650274607012,0.1615650274607012
delta_days,-0.15947504971823087,0.15947504971823087
current_abs_mean_a,-0.1559049325709544,0.1559049325709544
observed_soh_span_pct,0.15322964610189385,0.15322964610189385
rolling_observed_delta_std_5,0.1420704855443769,0.1420704855443769
rolling_latent_filter_delta_mean_5,-0.12397305366710827,0.12397305366710827
battery_1,0.11523408170189564,0.11523408170189564
battery_2,-0.1152340816990535,0.1152340816990535
battery_id,-0.1152340799198914,0.1152340799198914
prev_delta_days,-0.056775065699328914,0.056775065699328914
time_above_40c_proxy_min,0.0,0.0
plane_166,0.0,0.0
