feature,importance_mean,importance_std
rolling_latent_filter_mean_3,0.02959687775350961,0.0033010078915542973
battery_id,0.02788125317792307,0.003653807550001045
battery_1,0.01872657363254593,0.0014522415598420097
observed_soh_pct,0.014635135597990612,0.004182754625871124
latent_filter_delta_1,0.0025971810427019904,0.0004996962095691539
observed_soh_delta_1,0.0025195213286759,0.0006590301394982055
rolling_temp_mean_5,0.002012594946662105,0.006634145589078498
rolling_observed_delta_std_5,0.0019071308677382603,0.0011593898807823215
kalman_coulomb_gap_mean_pct,0.0018094238156926678,0.00036039713815832716
measurement_sigma_pct,0.0016681873691380745,0.0010223700916778655
kalman_coulomb_gap_span_pct,0.0014195765222758893,0.0004783733019208908
internal_resistance_proxy_ohm,0.0012397302490599672,0.00024560251857438193
rolling_current_abs_max_5,0.0011252159640278592,0.000983967858369012
rolling_soc_span_mean_5,0.0009887139336044015,0.0003769681328975527
storage_stress_proxy,0.0008939499955916474,0.0006555287232027507
observed_soh_slope_pct_per_day_1,0.0007881861293853376,0.0004661771892589786
rolling_current_abs_mean_5,0.0006272658741057313,0.000600896628648537
latent_filter_delta_2,0.0005787921798750872,0.0001599420960620821
rolling_gap_days_mean_5,0.0003406037214487512,0.001036905482854459
rolling_latent_filter_delta_std_5,0.00022056324617842905,0.00044622877970535183
score_soc_edge,0.00015948277796606902,4.098706737230704e-05
rolling_soc_mean_5,0.0001570362284144977,0.00019390549352339624
soc_max_pct,0.00015571344685767486,0.00017373727112197953
soc_mean_pct,0.00011574051676621622,0.00016250232963763977
instant_stress_index,0.0001124898407731223,0.00010690170559201124
score_current,0.00010992173549659868,0.000398289460256932
soc_span_pct,0.00010798591181853112,0.00018338699385208676
degradation_stress_proxy,8.9206190792801e-05,0.00031008097678153837
avg_cell_temp_min_c,4.534451611970525e-05,3.836843671667368e-05
prev2_observed_soh_pct,3.88765615365827e-05,4.3376521733097175e-05
rolling_stress_index_mean_5,3.361350224206916e-05,5.688970046918833e-05
rolling_observed_delta_mean_5,2.8740996332921042e-05,0.0001654094050692678
voltage_max_v,2.7544735324092075e-05,6.837133492280889e-05
avg_cell_temp_span_c,2.7402049290614626e-05,4.810314557608568e-05
rolling_observed_soh_std_3,1.5681860896599174e-05,0.00023494081558993033
p95_abs_current_a,2.9773043532799193e-06,3.247855605911471e-05
rolling_condition_mean_5,0.0,0.0
observed_soh_delta_2,0.0,0.0
battery_2,0.0,0.0
prev_latent_filter_pct,0.0,0.0
event_type_flight,0.0,0.0
prev_observed_soh_pct,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
duration_stress_index,0.0,0.0
rolling_latent_filter_delta_mean_5,0.0,0.0
event_type_charge,0.0,0.0
estimation_reset_risk,0.0,0.0
event_type_other,0.0,0.0
plane_166,0.0,0.0
observed_soh_iqr_pct,0.0,0.0
cumulative_ah,0.0,0.0
observed_soh_span_pct,0.0,0.0
cap_est_delta_raw,0.0,0.0
score_didt,0.0,0.0
event_efc,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
cumulative_flight_count,0.0,0.0
score_dtemp,0.0,0.0
score_observation_instability,0.0,0.0
cumulative_event_count,0.0,0.0
score_switch,0.0,0.0
score_event_type,0.0,0.0
charge_event_flag,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
flight_event_flag,0.0,0.0
condition_multiplier,0.0,0.0
_filterpy_pred_var_pct2,0.0,0.0
latent_soh_filter_std_pct,0.0,0.0
event_duration_s,0.0,0.0
avg_cell_temp_max_c,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
avg_cell_temp_mean_c,0.0,0.0
cumulative_efc,0.0,0.0
n_rows,-2.057851779930786e-05,8.696233681116945e-05
cap_est_span_raw,-4.9255092181077484e-05,4.938198710100537e-05
voltage_sag_proxy_v,-8.322055863292377e-05,0.00010623594448263039
rolling_flight_frac_5,-8.416794985759424e-05,0.00016240043266841972
thermal_severity_proxy,-0.00010355123341483363,0.0006449146394124396
current_temp_stress_index,-0.00011400026077552638,0.00044975679654002306
coulomb_gap_abs_pct,-0.00011733453291853379,0.0002443451861914494
rolling_stress_index_max_5,-0.00013424462667579462,0.0005075953537923188
arrhenius_temp_proxy,-0.0001366300483594429,0.00024814197215784794
soc_edge_stress_proxy,-0.00021254553079135262,0.000501270849443111
rolling_temp_span_mean_5,-0.00025446441008032395,0.0012178659701720706
score_gap,-0.00027169356382348295,0.0004331795845736858
time_since_prev_event_days,-0.0003032691256125375,9.391722958751893e-05
voltage_mean_v,-0.00030333834054960815,0.00020926586079536574
prev_delta_days,-0.000310568164694125,0.000172169553379795
p95_abs_dcurrent_a_per_s,-0.0004130545527763374,0.00015568635667058972
soc_stress_index,-0.000419606214011381,0.00014465073724394915
event_ah,-0.0004565256741489776,0.00039082150897141484
current_abs_mean_a,-0.0004662420364919484,0.0002375622393038493
rolling_observed_soh_mean_3,-0.000489475616194035,0.0001304056352302847
rolling_duration_mean_5,-0.0005357042356560982,0.0007285909559379075
current_rms_proxy_a,-0.000684120981131997,0.00037803142007358673
rolling_sigma_mean_5,-0.000710913767021104,0.0004979604473109435
current_span_a,-0.0009833468787030953,0.00022576601096754699
delta_days,-0.00167924137629889,0.0003027741467685546
throughput_stress_proxy,-0.0020897885543980977,0.00042162617413115874
soc_min_pct,-0.002544954777297015,0.000428167314485083
prev2_latent_filter_pct,-0.017650326171138174,0.008143244179893093
latent_soh_filter_pct,-0.024161800046595516,0.013032465988640407
_filterpy_pred_state_pct,-0.030534574733096776,0.005614277799888788
