model,eval_split,coverage_rows,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,736,736,5.863210271665554,7.922363513883625,0.034554935407809295,5.863210271665554,7.922363513883625,-0.21088941709684073
ridge_raw_only,train,736,736,3.861357287184569,4.909932646001609,0.6291749157964815,3.861357287184569,4.909932646001609,0.5349003412786026
ridge_raw_plus_latent,train,736,736,3.1101538609855566,4.1640740408024755,0.7332804062609666,3.1101538609855566,4.1640740408024755,0.6654724901127463
ridge_raw_only_no_latent,train,736,736,3.861357287184569,4.909932646001609,0.6291749157964815,3.861357287184569,4.909932646001609,0.5349003412786026
elastic_with_latent,train,736,736,4.99819003152519,6.689474920989723,0.3116614467449643,4.99819003152519,6.689474920989723,0.13666566842065886
elastic_no_latent,train,736,736,5.003959616105989,6.792317370998128,0.2903340385572464,5.003959616105989,6.792317370998128,0.10991620973496885
ridge_with_latent,train,736,736,2.580389256618362,3.530098311336166,0.8083134522997861,2.580389256618362,3.530098311336166,0.7595811294472122
ridge_no_latent,train,736,736,2.7231922827416177,3.684359991873328,0.7911943959729126,2.7231922827416177,3.684359991873328,0.7381099086629908
gbdt_with_latent,train,736,736,0.06701811302038661,0.0910539901049809,0.9998724689314017,0.06701811302038661,0.0910539901049809,0.9998400468064105
gbdt_no_latent,train,736,736,0.07377500049734198,0.09737628141753651,0.9998541439639551,0.07377500049734198,0.09737628141753651,0.9998170630966547
random_forest_with_latent,train,736,736,0.26454490637685885,0.42177009563280665,0.9972636628723721,0.26454490637685885,0.42177009563280665,0.9965680059995403
random_forest_no_latent,train,736,736,0.44434978998131036,0.6480816409180455,0.9935393312810429,0.44434978998131036,0.6480816409180455,0.9918968404665693
gam_spline_with_latent,train,736,736,0.6484571039218392,0.8489473852977285,0.9889138797495527,0.6484571039218392,0.8489473852977285,0.9860954639675951
gam_spline_no_latent,train,736,736,0.6823709692424182,0.8865484606516498,0.9879100920283221,0.6823709692424182,0.8865484606516498,0.9848364840699007
lstm_sequence_with_latent,train,736,736,9.594109240282725,11.80742109195527,-1.1445103110337338,9.594109240282725,11.80742109195527,-1.6897075097511531
gru_sequence_with_latent,train,736,736,7.641180459829092,9.641105097113075,-0.4297880702626027,7.641180459829092,9.641105097113075,-0.7932819861724776
lstm_sequence_no_latent,train,736,736,9.378135595157197,11.44660174363964,-1.015446065411453,9.378135595157197,11.44660174363964,-1.5278313607279856
gru_sequence_no_latent,train,736,736,9.840202991265404,11.939045317273704,-1.1925890265765178,9.840202991265404,11.939045317273704,-1.7500092399826483
physics_hybrid_with_latent,train,736,736,1.6272637073688079,3.0320289654820103,0.8585885007687838,1.6272637073688079,3.0320289654820103,0.8226375646270379
physics_hybrid_no_latent,train,736,736,2.3386922664943803,3.4016930216981502,0.8220048072714752,2.3386922664943803,3.4016930216981502,0.7767532270102543
physics_informed_with_latent,train,736,736,4.889898761051399,6.625060919424934,0.3248538629840877,4.889898761051399,6.625060919424934,0.15321198244282308
physics_informed_no_latent,train,736,736,4.637539710135007,6.209567362256985,0.406882524253789,4.637539710135007,6.209567362256985,0.25609472686086965
naive_zero_delta,valid,111,111,1.7592281217294365,1.7747325457153469,-0.46463840087905384,1.7592281217294365,1.7747325457153469,-56.48419839205002
ridge_raw_only,valid,111,111,1.6540579510363231,1.965430820913468,-0.796305144272784,1.6540579510363231,1.965430820913468,-69.50147068659552
ridge_raw_plus_latent,valid,111,111,2.2759804904091605,2.6668724470650162,-2.3072656349403338,2.2759804904091605,2.6668724470650162,-128.80372068629018
ridge_raw_only_no_latent,valid,111,111,1.6540579510363231,1.965430820913468,-0.796305144272784,1.6540579510363231,1.965430820913468,-69.50147068659552
elastic_with_latent,valid,111,111,0.23171609972594942,0.28024196055739503,0.9634799877488174,0.23171609972594942,0.28024196055739503,-0.4333391970790177
elastic_no_latent,valid,111,111,0.3368799274252737,0.3970026640135891,0.9267088676908813,0.3368799274252737,0.3970026640135891,-1.8765338854332496
ridge_with_latent,valid,111,111,2.081034375965038,2.4125961164805787,-1.7066608307796858,2.081034375965038,2.4125961164805787,-105.23115444955387
ridge_no_latent,valid,111,111,1.8852829466517125,2.2312169482874986,-1.3149850442343802,1.8852829466517125,2.2312169482874986,-89.85864434356505
gbdt_with_latent,valid,111,111,2.607716864533597,3.2627953119439526,-3.950445099864985,2.607716864533597,3.2627953119439526,-193.29530734602793
gbdt_no_latent,valid,111,111,1.806863208120769,2.2813638227071285,-1.4202135605464306,1.806863208120769,2.2813638227071285,-93.98865821221172
random_forest_with_latent,valid,111,111,3.2066102111215624,3.9970213908748855,-6.429122751727229,3.2066102111215624,3.9970213908748855,-290.5785670257364
random_forest_no_latent,valid,111,111,2.8773536318375874,3.668826613049265,-5.259201959104741,2.8773536318375874,3.668826613049265,-244.66145949548738
gam_spline_with_latent,valid,111,111,1.3762220731240793,1.5625547724936866,-0.1353639192888989,1.3762220731240793,1.5625547724936866,-43.56081770381493
gam_spline_no_latent,valid,111,111,1.2345940185669109,1.492389319808222,-0.0356877847653998,1.2345940185669109,1.492389319808222,-39.64872398261893
lstm_sequence_with_latent,valid,111,111,1.38769248750347,1.5451726354879265,-0.11024443748459323,1.38769248750347,1.5451726354879265,-42.57492707396558
gru_sequence_with_latent,valid,111,111,1.1267139117103966,1.2430692643304566,0.28145289150963004,1.1267139117103966,1.2430692643304566,-27.201571468905644
lstm_sequence_no_latent,valid,111,111,0.5866656172278326,0.6271985885883999,0.8170742964514542,0.5866656172278326,0.6271985885883999,-6.179476809756446
gru_sequence_no_latent,valid,111,111,0.8805614422699569,1.0480786434247646,0.4891983019353907,0.8805614422699569,1.0480786434247646,-19.047969610054462
physics_hybrid_with_latent,valid,111,111,0.4664905558005578,0.5825486117229236,0.842192030238995,0.4664905558005578,0.5825486117229236,-5.193654786153143
physics_hybrid_no_latent,valid,111,111,0.4860502340371009,0.6053743288207115,0.8295831276691741,0.4860502340371009,0.6053743288207115,-5.68852960057464
physics_informed_with_latent,valid,111,111,1.008380746742566,1.225794285559286,0.30128547081085,1.008380746742566,1.225794285559286,-26.423181442744138
physics_informed_no_latent,valid,111,111,1.0233884501068604,1.2502390610955474,0.2731400897864481,1.0233884501068604,1.2502390610955474,-27.527832710699094
naive_zero_delta,test,115,115,6.320454016726312,7.942860276850117,-1.0916366973128402,6.320454016726312,7.942860276850117,-1.7263008590858497
ridge_raw_only,test,115,115,3.373747379836677,3.70868072664192,0.5439932181434821,3.373747379836677,3.70868072664192,0.40562733350319746
ridge_raw_plus_latent,test,115,115,3.94244588311672,4.236717427807185,0.4048980059599173,3.94244588311672,4.236717427807185,0.22432653831349492
ridge_raw_only_no_latent,test,115,115,3.373747379836677,3.70868072664192,0.5439932181434821,3.373747379836677,3.70868072664192,0.40562733350319746
elastic_with_latent,test,115,115,4.894449295282414,6.747172401269195,-0.5093015617596366,4.894449295282414,6.747172401269195,-0.9672680966686402
elastic_no_latent,test,115,115,4.776364371091748,6.5029226596080285,-0.4020050720058441,4.776364371091748,6.5029226596080285,-0.8274146926006827
ridge_with_latent,test,115,115,4.145596504093299,4.387737894438325,0.36171629048123766,4.145596504093299,4.387737894438325,0.1680422188819366
ridge_no_latent,test,115,115,4.052429457764429,4.316232965227586,0.3823504040422421,4.052429457764429,4.316232965227586,0.19493733006453962
gbdt_with_latent,test,115,115,9.341929615300758,10.618495914086049,-2.7381645575397484,9.341929615300758,10.618495914086049,-3.8724337537765994
gbdt_no_latent,test,115,115,8.019430746495606,9.474516448356647,-1.9760931149762615,8.019430746495606,9.474516448356647,-2.8791273965039434
random_forest_with_latent,test,115,115,10.304425255740089,11.558827959300803,-3.4295540617699105,10.304425255740089,11.558827959300803,-4.773611191410601
random_forest_no_latent,test,115,115,9.611918848235662,10.93772406651661,-2.9663070585954245,9.611918848235662,10.93772406651661,-4.169801407261145
gam_spline_with_latent,test,115,115,8.132699524851086,9.832126470613183,-2.2049947279274815,8.132699524851086,9.832126470613183,-3.1774844987850326
gam_spline_no_latent,test,115,115,7.941654159337507,9.656107069701013,-2.091267246653926,7.941654159337507,9.656107069701013,-3.029248751011006
lstm_sequence_with_latent,test,115,115,6.60538513898319,8.463724303943692,-1.3749552099298596,6.60538513898319,8.463724303943692,-2.0955865506856552
gru_sequence_with_latent,test,115,115,5.855293552762074,7.5941279834070725,-0.9120015102746026,5.855293552762074,7.5941279834070725,-1.4921590669794238
lstm_sequence_no_latent,test,115,115,4.6623167447888445,6.268416804711401,-0.30271117729207364,4.6623167447888445,6.268416804711401,-0.6979921065426395
gru_sequence_no_latent,test,115,115,5.3187704586391,7.1115916917711965,-0.6767411962886929,5.3187704586391,7.1115916917711965,-1.1855138465390875
physics_hybrid_with_latent,test,115,115,4.402841899234326,5.8515042172712075,-0.13518711165446717,4.402841899234326,5.8515042172712075,-0.4796363066792515
physics_hybrid_no_latent,test,115,115,4.707057501243749,6.210662641519228,-0.2788166605083038,4.707057501243749,6.210662641519228,-0.6668472897975881
physics_informed_with_latent,test,115,115,5.227299994699334,6.777911183394344,-0.5230850462337164,5.227299994699334,6.777911183394344,-0.9852338961839946
physics_informed_no_latent,test,115,115,5.096481492056819,6.571852623077698,-0.4318846657724553,5.096481492056819,6.571852623077698,-0.8663606349145188
