feature,importance_mean,importance_std
rolling_temp_mean_5,0.030553312687724432,0.0080989860026927
latent_soh_filter_std_pct,0.008866478707098668,0.002484741339521836
rolling_observed_delta_mean_5,0.0081071429869926,0.001001439656572955
rolling_temp_span_mean_5,0.007705818253815266,0.002101595901312514
observed_soh_pct,0.0068759739639133064,0.0008220551023026269
battery_id,0.006611535970988758,0.004330970812814142
rolling_flight_frac_5,0.0059509914443033555,0.0019222502875617415
voltage_sag_proxy_v,0.005234083410161716,0.0009541057174072159
throughput_stress_proxy,0.0046612321294006165,0.0007650877581686614
storage_stress_proxy,0.004088403464978185,0.003538768865691746
thermal_severity_proxy,0.0035877449036271435,0.0015939503192735527
_filterpy_pred_state_pct,0.0034945174147510195,0.0006585491043646977
rolling_gap_days_mean_5,0.0034575045247793312,0.0028788018118766495
kalman_coulomb_gap_span_pct,0.0032140036141051096,0.0028304658186864683
soc_span_pct,0.0031817815662665617,0.000602941164846046
n_rows,0.003124103876236539,0.001171976849916349
_filterpy_pred_var_pct2,0.0029976266268631592,0.000421477171451663
current_abs_mean_a,0.0025455255575947966,0.0003431936231355396
arrhenius_temp_proxy,0.002098122472204089,0.00047708030220886005
prev_delta_days,0.0020357108094374078,0.002556956180348594
duration_stress_index,0.001980466559604643,0.0007080059097854451
rolling_observed_soh_mean_3,0.0019098677102190819,0.0010651975543058054
latent_filter_delta_2,0.0016626820002904274,0.0013033062704686815
soc_stress_index,0.0013906760235216531,0.0008827486808844105
measurement_sigma_pct,0.0013692811063703125,0.0007872818424248715
observed_soh_span_pct,0.0013478711403223543,0.00023130724397290732
prev2_observed_soh_pct,0.0010224748088671909,0.0001470767093914795
degradation_stress_proxy,0.0009426822895617804,0.0005620928628935482
soc_edge_stress_proxy,0.0009041621537093647,0.00039027069057804046
internal_resistance_proxy_ohm,0.0008355984264835747,0.00040536504073859764
coulomb_gap_abs_pct,0.0007821014348370348,0.0004335085157725264
current_span_a,0.0007585042685194666,0.0003069338521659821
voltage_max_v,0.000690859781026365,0.00028576128976007156
delta_days,0.0005409823350758458,0.0007451228487992452
avg_cell_temp_min_c,0.0004430554953540167,0.001310271465073362
avg_cell_temp_mean_c,0.0004128201290891198,0.0006939451729296065
rolling_current_abs_max_5,0.0002787594163468299,0.000501947668040329
event_type_other,0.0002285019445488423,0.00022824878371689082
kalman_coulomb_gap_mean_pct,0.00022569640528038448,0.0006943401209533688
p95_abs_dcurrent_a_per_s,0.00020561813107073946,0.0005355871912274344
cap_est_delta_raw,0.0001943401546771639,0.0004764677255969272
observed_soh_iqr_pct,8.745224310935384e-05,0.0001269612797140724
event_type_flight,0.0,0.0
battery_2,0.0,0.0
soc_max_pct,0.0,0.0
estimation_reset_risk,0.0,0.0
prev_latent_filter_pct,0.0,0.0
event_type_charge,0.0,0.0
rolling_condition_mean_5,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
time_since_prev_event_days,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
plane_166,0.0,0.0
cumulative_efc,0.0,0.0
score_dtemp,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
condition_multiplier,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
flight_event_flag,0.0,0.0
score_event_type,0.0,0.0
charge_event_flag,0.0,0.0
cumulative_event_count,0.0,0.0
score_switch,0.0,0.0
cumulative_ah,0.0,0.0
cumulative_flight_count,0.0,0.0
score_observation_instability,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
score_didt,0.0,0.0
observed_soh_delta_1,-2.7380581747404876e-05,7.586398956630351e-05
observed_soh_slope_pct_per_day_1,-4.3928140374749344e-05,0.0004564220470000951
observed_soh_delta_2,-9.649045532889033e-05,0.00037926601543090786
