model,eval_split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,774,4.151678844937755,6.652544282418828,0.4939213943508586,4.151678844937755,6.652544282418828,-0.1777193300333293
naive_zero_delta,valid,166,0.896559885380793,0.9265106513712815,0.6516885011914886,0.896559885380793,0.9265106513712815,-14.721335164773079
naive_zero_delta,test,114,5.12805018190089,6.553132867204397,-0.4326921333508691,5.12805018190089,6.553132867204397,-1.579710991178691
naive_zero_delta,holdout,48,1.3863933939443027,1.3899098234408758,-11.586006752083687,1.3863933939443027,1.3899098234408758,-196.88115565480254
ridge_raw_only,train,774,3.793305759721376,5.257390567890374,0.6839302644224754,3.793305759721376,5.257390567890374,0.2644592498615824
ridge_raw_only,valid,166,1.155146960007101,1.3658742258160321,0.24301303873590796,1.155146960007101,1.3658742258160321,-33.16724906902521
ridge_raw_only,test,114,3.256277164428939,4.147621237009499,0.42607768879164365,3.256277164428939,4.147621237009499,-0.03340673117542958
ridge_raw_only,holdout,48,1.0279809942329787,1.343487302903449,-10.759310131774008,1.0279809942329787,1.343487302903449,-183.88357144679185
ridge_raw_plus_latent,train,774,3.326899207670127,4.424132971642558,0.7761800609789956,3.326899207670127,4.424132971642558,0.4791380910208506
ridge_raw_plus_latent,valid,166,2.850541441045752,3.1298191411868848,-2.9747101487936556,2.850541441045752,3.1298191411868848,-178.40191651945307
ridge_raw_plus_latent,test,114,3.2178026182446096,3.639946672523645,0.5579768947199994,3.2178026182446096,3.639946672523645,0.20409148867260962
ridge_raw_plus_latent,holdout,48,0.9989465798815308,1.3423445269668701,-10.73931360288745,0.9989465798815308,1.3423445269668701,-183.56917973200098
elastic_raw_plus_latent_plus_history,train,774,3.838193844235626,5.123170317897008,0.69986266779639,3.838193844235626,5.123170317897008,0.30153629524128023
elastic_raw_plus_latent_plus_history,valid,166,0.6806258780470166,0.8196113119320486,0.7274269796002356,0.6806258780470166,0.8196113119320486,-11.302814650787841
elastic_raw_plus_latent_plus_history,test,114,3.7296496524655995,4.9248587618720245,0.19082493885525675,3.7296496524655995,4.9248587618720245,-0.45700374171843516
elastic_raw_plus_latent_plus_history,holdout,48,0.9884117926124073,1.1331563977158465,-7.365548508667468,0.9884117926124073,1.1331563977158465,-130.52578408615344
ridge_raw_plus_latent_plus_history,train,774,2.8719810263636343,3.8098992294445235,0.8340147841422623,2.8719810263636343,3.8098992294445235,0.61372799594113
ridge_raw_plus_latent_plus_history,valid,166,3.166995357129537,3.3796938672923025,-3.6347008390887003,3.166995357129537,3.3796938672923025,-208.19115656249468
ridge_raw_plus_latent_plus_history,test,114,3.7562852887138387,4.428471718406679,0.3457214535504195,3.7562852887138387,4.428471718406679,-0.17809647884416968
ridge_raw_plus_latent_plus_history,holdout,48,1.3444806080382836,1.580358090185701,-15.271429905478545,1.3444806080382836,1.580358090185701,-254.8245373036329
gbdt_raw_plus_latent_plus_history,train,774,0.0884496514647643,0.11934691967217737,0.999837121088392,0.0884496514647643,0.11934691967217737,0.9996209568226867
gbdt_raw_plus_latent_plus_history,valid,166,2.0830069661699566,2.4817130678565635,-1.4990222006981448,2.0830069661699566,2.4817130678565635,-111.79548833667245
gbdt_raw_plus_latent_plus_history,test,114,7.944722958152545,9.164402976223432,-1.8019687322386742,7.944722958152545,9.164402976223432,-4.045235725968011
gbdt_raw_plus_latent_plus_history,holdout,48,1.09805234395873,1.1813572503319623,-8.09237237258399,1.09805234395873,1.1813572503319623,-141.95313741452182
random_forest_raw_plus_latent_plus_history,train,774,0.27225435766986045,0.4305212354785836,0.9978805089567242,0.27225435766986045,0.4305212354785836,0.9950676326886084
random_forest_raw_plus_latent_plus_history,valid,166,2.158035875227209,2.5333493152088855,-1.60409686020924,2.158035875227209,2.5333493152088855,-116.53812228688409
random_forest_raw_plus_latent_plus_history,test,114,7.47022883803574,8.439292902199742,-1.376112776718613,7.47022883803574,8.439292902199742,-3.27843784696761
random_forest_raw_plus_latent_plus_history,holdout,48,0.3433379090400563,0.4295720507183611,-0.20222774327271575,0.3433379090400563,0.4295720507183611,-17.90180260388664
gam_spline_raw_plus_latent_plus_history,train,774,0.7041852915511421,0.9255871284747089,0.9902033623980592,0.7041852915511421,0.9255871284747089,0.9772017837854698
gam_spline_raw_plus_latent_plus_history,valid,166,2.2821475742022597,2.652768001319853,-1.8553905624008054,2.2821475742022597,2.652768001319853,-127.88047684728349
gam_spline_raw_plus_latent_plus_history,test,114,9.633853221479917,10.914418737753472,-2.974258874120769,9.633853221479917,10.914418737753472,-6.156065885124781
gam_spline_raw_plus_latent_plus_history,holdout,48,8.160572449895575,8.504761431039878,-470.2365663728285,8.160572449895575,8.504761431039878,-7407.929470438944
lstm_sequence,train,752,8.823217727543055,11.25944956474243,-0.49248398645382885,8.823217727543055,11.25944956474243,-2.282392457885022
lstm_sequence,valid,166,2.305621833648767,2.76935016236719,-2.111879157371666,2.305621833648767,2.76935016236719,-139.45730730298848
lstm_sequence,test,114,8.421217984808953,9.6441824330206,-2.1030284923006635,8.421217984808953,9.6441824330206,-4.587325093218924
lstm_sequence,holdout,26,20.533974629373727,20.53495914993046,-10182.079112766885,20.533974629373727,20.53495914993046,-43604.47188278551
gru_sequence,train,752,8.736291980325941,11.133337924393087,-0.45923804057557605,8.736291980325941,11.133337924393087,-2.209275263331185
gru_sequence,valid,166,2.4834428581236176,2.9322400746030914,-2.4887193096695035,2.4834428581236176,2.9322400746030914,-156.46630745970012
gru_sequence,test,114,8.206866970019155,9.421570110032958,-1.9614301781445143,8.206866970019155,9.421570110032958,-4.33236262161894
gru_sequence,holdout,26,20.324453849250535,20.32560559474272,-9975.50488565746,20.324453849250535,20.32560559474272,-42719.8900630651
physics_hybrid_nn,train,774,3.9055186193489333,6.402802916342726,0.5312052947283363,3.9055186193489333,6.402802916342726,-0.09095421156468819
physics_hybrid_nn,valid,166,0.2943746798809476,0.3704006379037878,0.9443313831237203,0.2943746798809476,0.3704006379037878,-1.5126502773096182
physics_hybrid_nn,test,114,4.512841559309346,6.071889752585472,-0.22999312547785178,4.512841559309346,6.071889752585472,-1.214730374381392
physics_hybrid_nn,holdout,48,0.6384887455325519,0.6468334635477787,-1.7258356751667603,0.6384887455325519,0.6468334635477787,-41.85644558690452
physics_informed_pinn,train,774,3.6967365191010484,5.523993719478691,0.651061586563161,3.6967365191010484,5.523993719478691,0.18796900341478795
physics_informed_pinn,valid,166,0.7232161578721381,0.8631660057135667,0.6976878267266666,0.7232161578721381,0.8631660057135667,-12.645116559972982
physics_informed_pinn,test,114,3.797728079423967,5.131731931476522,0.12141688420247942,3.797728079423967,5.131731931476522,-0.5819801531162707
physics_informed_pinn,holdout,48,0.6488301240860098,0.7810438762229444,-2.974345099117114,0.6488301240860098,0.7810438762229444,-61.48590332704964
