,corr_with_next_latent_delta_flight_5_pct,abs_corr
rolling_temp_mean_5,0.4537919774944598,0.4537919774944598
avg_cell_temp_mean_c,0.41334588853341636,0.41334588853341636
avg_cell_temp_max_c,0.37443753486164155,0.37443753486164155
rolling_duration_mean_5,-0.340666527600067,0.340666527600067
next_latent_soh_causal_flight_5_pct,0.3174826900494903,0.3174826900494903
latent_filter_delta_1,0.30511695976830605,0.30511695976830605
rolling_flight_frac_5,0.2950399256106192,0.2950399256106192
latent_filter_delta_2,0.26680378654349235,0.26680378654349235
rolling_latent_filter_delta_std_5,-0.2620846961967737,0.2620846961967737
internal_resistance_proxy_ohm,-0.26089599627604054,0.26089599627604054
rolling_soc_mean_5,0.2522977872054629,0.2522977872054629
rolling_latent_filter_delta_mean_5,0.250474211885901,0.250474211885901
soc_mean_pct,0.22789019578943528,0.22789019578943528
current_temp_stress_index,0.22166021055834467,0.22166021055834467
duration_stress_index,-0.22100469886312293,0.22100469886312293
n_rows,-0.21906633172756648,0.21906633172756648
event_duration_s,-0.20921999276151215,0.20921999276151215
voltage_mean_v,0.19571443819496506,0.19571443819496506
delta_days,-0.18127622474441216,0.18127622474441216
storage_stress_proxy,-0.17890581682200704,0.17890581682200704
soc_min_pct,0.17753784424866467,0.17753784424866467
prev_delta_days,-0.17477781555192418,0.17477781555192418
rolling_gap_days_mean_5,-0.1739560205222607,0.1739560205222607
rolling_observed_delta_mean_5,0.16961369258676806,0.16961369258676806
voltage_max_v,0.15080487109151158,0.15080487109151158
score_current,0.14536352523976287,0.14536352523976287
observed_soh_iqr_pct,-0.14358114608863481,0.14358114608863481
soc_max_pct,0.1423360894946999,0.1423360894946999
rolling_current_abs_max_5,-0.14175482643330975,0.14175482643330975
rolling_temp_span_mean_5,0.14137218449259123,0.14137218449259123
flight_event_flag,0.13847227379840088,0.13847227379840088
observed_soh_pct,0.13782353653665058,0.13782353653665058
latent_soh_filter_std_pct,-0.13569755486416957,0.13569755486416957
time_since_prev_event_days,-0.12927896678597398,0.12927896678597398
rolling_observed_delta_std_5,-0.12771999198324258,0.12771999198324258
voltage_sag_proxy_v,-0.12481116679439853,0.12481116679439853
prev_observed_soh_pct,0.12171459809592963,0.12171459809592963
score_soc_edge,0.1154186874154006,0.1154186874154006
score_observation_instability,-0.11292724572856076,0.11292724572856076
rolling_current_abs_mean_5,0.10960367750299126,0.10960367750299126
rolling_observed_soh_mean_3,0.10837114237376085,0.10837114237376085
prev2_observed_soh_pct,0.10702990500199099,0.10702990500199099
