feature,importance_mean,importance_std
latent_soh_filter_pct,0.7309782600984047,0.1536899400904309
observed_soh_pct,0.4045389247313548,0.12498888068961507
latent_filter_delta_1,0.33070426641671097,0.09773420286821947
rolling_latent_filter_delta_std_5,0.12031935777702696,0.048026010798536384
rolling_latent_filter_delta_mean_5,0.07756889598004264,0.05646136450207558
rolling_soc_span_mean_5,0.02854247459126249,0.016107791382532485
kalman_coulomb_gap_mean_pct,0.027029148934182068,0.05175430863748377
_filterpy_pred_var_pct2,0.020004416195422082,0.01628731289237607
voltage_sag_proxy_v,0.019222169930808875,0.007634834852781692
observed_soh_slope_pct_per_day_1,0.010526641594206331,0.00696910302539874
rolling_flight_frac_5,0.00941060365702917,0.003056468076847476
observed_soh_delta_1,0.008840574221897235,0.0037025295372208793
coulomb_gap_abs_pct,0.00819290124817602,0.0025742357449362496
rolling_stress_index_max_5,0.00761635995629426,0.003946658808188584
avg_cell_temp_mean_c,0.007270919798149755,0.004746357985706574
latent_filter_delta_2,0.006835695516646289,0.003410217412147566
prev2_latent_filter_pct,0.0058138617793041195,0.02250772072742682
rolling_sigma_mean_5,0.005352822625867759,0.007277708012250116
p95_abs_dcurrent_a_per_s,0.005086206807675175,0.0022555409085942457
rolling_soc_mean_5,0.004424727978433296,0.02265968640604975
measurement_sigma_pct,0.004283340635159938,0.0033767274812330677
soc_min_pct,0.0026060000543752793,0.005848741211480881
rolling_current_abs_max_5,0.002344987065674786,0.011522374479102739
time_since_prev_event_days,0.002268788533166166,0.0015140805487560687
cap_est_span_raw,0.0020756338685639975,0.0009173841631360318
prev_delta_days,0.001739418659526848,0.00277825181087773
charge_event_flag,0.0015475112452861596,0.0007084880245986847
rolling_observed_delta_std_5,0.0015143027828127486,0.004372485748989866
soc_span_pct,0.0014049181520396914,0.0023013356654049454
rolling_observed_delta_mean_5,0.001219484095786072,0.011409547746349898
current_span_a,0.0011949127192165676,0.002025780847069787
current_temp_stress_index,0.0009513648411800801,0.0016991517767293305
avg_cell_temp_min_c,0.0007187198727041988,0.00042642246668304456
arrhenius_temp_proxy,0.0006859422353153732,0.0008976095161191959
current_abs_mean_a,0.0006027543069430763,0.003515009715225504
delta_days,0.00045945070903936626,0.003022364025760852
prev2_observed_soh_pct,0.0004206327763728979,0.0003681735221850437
event_duration_s,0.00032146920305766715,0.0003635610854967508
score_gap,0.00028259828911636475,0.002251343453476126
prev_observed_soh_pct,0.0002472482435285528,0.00020609631453971143
score_current,0.0001432742173545165,0.005089778830637173
observed_soh_span_pct,7.242832885090422e-05,0.004932054755897037
soc_max_pct,5.329070518200751e-16,0.00017270198909722596
prev_latent_filter_pct,0.0,0.0
rolling_condition_mean_5,0.0,0.0
event_type_charge,0.0,0.0
flag_rst_coulomb_any,0.0,0.0
flag_new_est_batt_cap_any,0.0,0.0
battery_2,0.0,0.0
event_type_flight,0.0,0.0
event_type_other,0.0,0.0
estimation_reset_risk,0.0,0.0
plane_166,0.0,0.0
p95_abs_dtemp_c_per_min,0.0,0.0
cumulative_flight_count,0.0,0.0
score_didt,0.0,0.0
score_dtemp,0.0,0.0
score_soc_edge,0.0,0.0
score_observation_instability,0.0,0.0
cumulative_efc,0.0,0.0
score_event_type,0.0,0.0
latent_soh_filterpy_filter_pct,0.0,0.0
event_efc,0.0,0.0
cumulative_ah,0.0,0.0
cumulative_event_count,0.0,0.0
flight_event_flag,0.0,0.0
condition_multiplier,0.0,0.0
time_above_40c_proxy_min,0.0,0.0
avg_cell_temp_span_c,0.0,0.0
cap_est_delta_raw,-2.2942252334523517e-05,0.0004391722320156552
n_rows,-3.7718380510298746e-05,0.002067707600638931
throughput_stress_proxy,-6.614941292308885e-05,0.0017210009419379739
observed_soh_iqr_pct,-0.0002375557227210834,0.00021896232340962046
battery_1,-0.00030037291163029776,0.0006912687129332324
degradation_stress_proxy,-0.0003604571531898415,0.00021994448972578666
current_rms_proxy_a,-0.0003624093595915312,0.00042084922195315783
observed_soh_delta_2,-0.0004147352046819819,0.001833105542348554
voltage_mean_v,-0.0004979321956916749,0.0011087609778275467
score_switch,-0.00086963372352038,0.00034086999166740655
rolling_temp_mean_5,-0.0011083682180688115,0.0016110136663424733
rolling_current_abs_mean_5,-0.001570713439289584,0.004811396351032189
p95_abs_current_a,-0.0015895305453334173,0.0007718676677160896
voltage_max_v,-0.0016760623044312696,0.0030325289563472193
rolling_duration_mean_5,-0.0017463225026810747,0.003128743175700454
rolling_observed_soh_std_3,-0.0023424129710727824,0.001487191553899777
avg_cell_temp_max_c,-0.0025834419707628344,0.0013888668773111834
kalman_coulomb_gap_span_pct,-0.0027798838090413724,0.0020756270265358335
rolling_gap_days_mean_5,-0.0039354968802731705,0.017083760821129012
soc_edge_stress_proxy,-0.004140586588059136,0.002366811340948102
event_ah,-0.005187659759042518,0.009147731547497137
internal_resistance_proxy_ohm,-0.006528953041116559,0.0035040188506974433
storage_stress_proxy,-0.006923229061055381,0.003487096545564675
instant_stress_index,-0.007317535694755861,0.0030227277248030568
rolling_observed_soh_mean_3,-0.007739720398739891,0.0038800591851728887
soc_stress_index,-0.008217805926339139,0.005291646023596344
rolling_temp_span_mean_5,-0.009791985802802827,0.009713899911010198
thermal_severity_proxy,-0.011180737455748258,0.0072792102861484265
duration_stress_index,-0.011198136387943158,0.004911702404103825
soc_mean_pct,-0.015439361284579789,0.004137099018837971
battery_id,-0.020104491803533263,0.007883236195491935
rolling_stress_index_mean_5,-0.0350604227120602,0.012668667709746102
_filterpy_pred_state_pct,-0.03806395972502017,0.006480270065312911
