model,eval_split,n,level_mae,level_rmse,level_r2,delta_mae,delta_rmse,delta_r2
naive_zero_delta,train,774,7.144702842377261,9.997674148125304,0.022211651059241944,7.144702842377261,9.997674148125304,-0.025575864757118705
naive_zero_delta,valid,166,1.4698795180722892,1.8136032163916187,0.09069384806773928,1.4698795180722892,1.8136032163916187,-0.02836525369882903
naive_zero_delta,test,114,10.342105263157896,12.555490865640936,-0.5617747887782412,10.342105263157896,12.555490865640936,-1.219668397667104
naive_zero_delta,holdout,48,2.0416666666666665,2.101586702153082,-5.642297650130548,2.0416666666666665,2.101586702153082,-16.79020979020979
ridge_raw_only,train,774,5.142003286890988,7.082526755578025,0.5092917607248257,5.142003286890988,7.082526755578025,0.4853093439052921
ridge_raw_only,valid,166,1.6860757085755613,2.205555443526403,-0.3448118703349492,1.6860757085755613,2.205555443526403,-0.5208934826575562
ridge_raw_only,test,114,7.95305737706009,9.811882491201283,0.04620357171342504,7.95305737706009,9.811882491201283,-0.3555807180955082
ridge_raw_only,holdout,48,1.4670259613049421,1.7410584700105,-3.558798765778837,1.4670259613049421,1.7410584700105,-11.20992956149157
ridge_raw_plus_latent,train,774,4.7972130418106245,6.3287791871813734,0.6081798297220788,4.7972130418106245,6.3287791871813734,0.5890303761571951
ridge_raw_plus_latent,valid,166,4.246861836483724,4.707493462748002,-5.126395441261878,4.246861836483724,4.707493462748002,-5.928548969810508
ridge_raw_plus_latent,test,114,6.115719020312024,7.737111131515956,0.4069262737959085,6.115719020312024,7.737111131515956,0.15709549353673413
ridge_raw_plus_latent,holdout,48,2.1399332183367155,2.4903952121454402,-8.327392553790895,2.1399332183367155,2.4903952121454402,-23.98175767903436
elastic_raw_plus_latent_plus_history,train,774,5.711698730922607,7.632889462252515,0.43006562918281976,5.711698730922607,7.632889462252515,0.4022111883018069
elastic_raw_plus_latent_plus_history,valid,166,1.456829887158209,1.8607683898117544,0.042783416084096526,1.456829887158209,1.8607683898117544,-0.08254879071436849
elastic_raw_plus_latent_plus_history,test,114,8.856948292118455,11.005939539839575,-0.2000663561372551,8.856948292118455,11.005939539839575,-0.7055912190164133
elastic_raw_plus_latent_plus_history,holdout,48,2.6483472661879905,2.7649770501627633,-10.49758876931024,2.6483472661879905,2.7649770501627633,-29.794241249271487
ridge_raw_plus_latent_plus_history,train,774,4.101789218357624,5.56425910297884,0.6971262795523846,4.101789218357624,5.56425910297884,0.6823239118191939
ridge_raw_plus_latent_plus_history,valid,166,3.9389093875797334,4.522589423454806,-4.654574107174359,3.9389093875797334,4.522589423454806,-5.39495017594072
ridge_raw_plus_latent_plus_history,test,114,6.364557118476355,7.907357379086609,0.38053931269750296,6.364557118476355,7.907357379086609,0.11959309301045795
ridge_raw_plus_latent_plus_history,holdout,48,2.3237092705239264,2.9434651429913226,-12.029912636164065,2.3237092705239264,2.9434651429913226,-33.89829748007578
gbdt_raw_plus_latent_plus_history,train,774,0.3527987632892848,0.47132591114850353,0.9978268508517865,0.3527987632892848,0.47132591114850353,0.9977206423871386
gbdt_raw_plus_latent_plus_history,valid,166,3.788506486034967,5.535903689818721,-7.472325380153794,3.788506486034967,5.535903689818721,-8.581640925299645
gbdt_raw_plus_latent_plus_history,test,114,15.7089850954766,18.360037914339145,-2.3396285293558843,15.7089850954766,18.360037914339145,-3.7464384492707348
gbdt_raw_plus_latent_plus_history,holdout,48,1.2057258189872364,1.3811870265859143,-1.8689877258165053,1.2057258189872364,1.3811870265859143,-6.684072020893159
random_forest_raw_plus_latent_plus_history,train,774,0.7355479797911221,1.5078624388034907,0.9777581786352972,0.7355479797911221,1.5078624388034907,0.9766711526021054
random_forest_raw_plus_latent_plus_history,valid,166,2.9331835579531167,3.9577710025064903,-3.330388882489242,2.9331835579531167,3.9577710025064903,-3.8973840683829266
random_forest_raw_plus_latent_plus_history,test,114,14.209459112738969,17.032555570734488,-1.874158035509939,14.209459112738969,17.032555570734488,-3.0848897082742184
random_forest_raw_plus_latent_plus_history,holdout,48,1.2987800714777744,1.3751808986220673,-1.8440902409048507,1.2987800714777744,1.3751808986220673,-6.617388547318586
gam_spline_raw_plus_latent_plus_history,train,774,1.6838650805464013,2.3869132224343974,0.9442660064505339,1.6838650805464013,2.3869132224343974,0.941542115230988
gam_spline_raw_plus_latent_plus_history,valid,166,4.722720495635167,5.782589326358377,-8.244220055258037,4.722720495635167,5.782589326358377,-9.45460286634179
gam_spline_raw_plus_latent_plus_history,test,114,8.258244953312616,9.909352718497832,0.027159618463250768,8.258244953312616,9.909352718497832,-0.3826468876225051
gam_spline_raw_plus_latent_plus_history,holdout,48,4.580259819103642,6.206225518620275,-56.92670357251366,4.580259819103642,6.206225518620275,-154.14634593197715
lstm_sequence,train,752,10.979396170758186,14.066384128054244,-0.983883247187989,10.979396170758186,14.066384128054244,-0.9745433185837595
lstm_sequence,valid,166,1.8564388321106693,2.1988517171417796,-0.33664925530037304,1.8564388321106693,2.1988517171417796,-0.5116621036956517
lstm_sequence,test,114,10.147428361993088,12.080568521742602,-0.44585839544456474,10.147428361993088,12.080568521742602,-1.054922522075406
lstm_sequence,holdout,26,22.753475189208984,22.770428117371146,-673.0401156428765,22.753475189208984,22.770428117371146,-1717.1414712465478
